position,representation,probe_seed,checkpoint_seed,train_accuracy,train_macro_f1,final_loss,optimization_steps,pass,status,subset_size,subset_hash,scaler_state_sha256
P3,RAW_SIGNAL_281,42,,1.0,1.0,1.1765718460083008,2,True,PASS,7,76af57bcd79ef307ed1ad253ad6f2dacee848801e15ab3724646cb049d6e9b5a,d704951e6447d1d9fff2691429bebd54ec2cfefdfa2413af875bb34e015e285d
P3,RAW_SIGNAL_281,43,,1.0,1.0,0.9509464502334595,2,True,PASS,7,76af57bcd79ef307ed1ad253ad6f2dacee848801e15ab3724646cb049d6e9b5a,d704951e6447d1d9fff2691429bebd54ec2cfefdfa2413af875bb34e015e285d
P3,RAW_SIGNAL_281,44,,1.0,1.0,0.38839149475097656,3,True,PASS,7,76af57bcd79ef307ed1ad253ad6f2dacee848801e15ab3724646cb049d6e9b5a,d704951e6447d1d9fff2691429bebd54ec2cfefdfa2413af875bb34e015e285d
P3,RAW_SIGNAL_281,45,,1.0,1.0,1.029698133468628,2,True,PASS,7,76af57bcd79ef307ed1ad253ad6f2dacee848801e15ab3724646cb049d6e9b5a,d704951e6447d1d9fff2691429bebd54ec2cfefdfa2413af875bb34e015e285d
P3,RAW_SIGNAL_281,46,,1.0,1.0,0.4158596992492676,3,True,PASS,7,76af57bcd79ef307ed1ad253ad6f2dacee848801e15ab3724646cb049d6e9b5a,d704951e6447d1d9fff2691429bebd54ec2cfefdfa2413af875bb34e015e285d
P3,FIRST_DIFFERENCE_280,42,,1.0,1.0,0.6840205788612366,2,True,PASS,7,76af57bcd79ef307ed1ad253ad6f2dacee848801e15ab3724646cb049d6e9b5a,98cedaafd19f0856ec9465ba4d6ad59c83ac800408ec65637530a0888d5c8eea
P3,FIRST_DIFFERENCE_280,43,,1.0,1.0,0.4947139620780945,2,True,PASS,7,76af57bcd79ef307ed1ad253ad6f2dacee848801e15ab3724646cb049d6e9b5a,98cedaafd19f0856ec9465ba4d6ad59c83ac800408ec65637530a0888d5c8eea
P3,FIRST_DIFFERENCE_280,44,,1.0,1.0,0.3005094528198242,3,True,PASS,7,76af57bcd79ef307ed1ad253ad6f2dacee848801e15ab3724646cb049d6e9b5a,98cedaafd19f0856ec9465ba4d6ad59c83ac800408ec65637530a0888d5c8eea
P3,FIRST_DIFFERENCE_280,45,,1.0,1.0,1.1922928094863892,2,True,PASS,7,76af57bcd79ef307ed1ad253ad6f2dacee848801e15ab3724646cb049d6e9b5a,98cedaafd19f0856ec9465ba4d6ad59c83ac800408ec65637530a0888d5c8eea
P3,FIRST_DIFFERENCE_280,46,,1.0,1.0,0.4934837520122528,3,True,PASS,7,76af57bcd79ef307ed1ad253ad6f2dacee848801e15ab3724646cb049d6e9b5a,98cedaafd19f0856ec9465ba4d6ad59c83ac800408ec65637530a0888d5c8eea
