position,representation,probe_seed,checkpoint_seed,folds_combined,oof_condition_blocks,oof_rows,block_accuracy,block_macro_f1,row_accuracy,row_macro_f1,block_confusion_matrix,block_prediction_sha256,row_prediction_sha256,estimand,block_accuracy_seed_variance,block_macro_f1_seed_variance,variance_role
P2,C1_ENCODER_EMBEDDING,46,46,3,63,3150,0.6666666666666666,0.6444953739071387,0.6625396825396825,0.6412458577435862,"[[8,0,0,0,0,1,0],[2,5,0,2,0,0,0],[0,1,5,0,1,0,2],[0,0,0,9,0,0,0],[1,0,2,1,2,0,3],[1,0,0,1,0,7,0],[1,0,1,0,0,1,6]]",86043d7d19f451a716d05d0a868f62ab6ce24cc31ec9beaaf4041f91be3346da,0540c1b5f69710fa47b48e45f5af4d2b5603f492494867cef376ec6d2637bd52,one pooled 63-block out-of-fold set,,,
P2,RAW_SIGNAL_281,MEAN,,3,63,3150,0.28253968253968254,0.2737192653709904,,,,,,descriptive equal-weight mean of five pooled 63-block seed estimands,0.0019551524313429075,0.002222834594761954,probe-seed variance
P2,FIRST_DIFFERENCE_280,MEAN,,3,63,3150,0.26666666666666666,0.24814247940717768,,,,,,descriptive equal-weight mean of five pooled 63-block seed estimands,0.0016528092718568906,0.002666065599526534,probe-seed variance
P2,C1_ENCODER_EMBEDDING,MEAN,ALIGNED_42_TO_46,3,63,3150,0.7714285714285714,0.7623406999579528,,,,,,descriptive equal-weight mean of five pooled 63-block seed estimands,0.004595616024187453,0.005465796017224994,aligned checkpoint-plus-probe seed variance
P3,RAW_SIGNAL_281,42,,3,63,3150,0.5238095238095238,0.5133523903979454,0.5241269841269841,0.5132618676199237,"[[6,0,1,0,2,0,0],[0,6,1,1,1,0,0],[0,2,6,0,0,0,1],[1,0,0,4,2,1,1],[5,0,0,1,3,0,0],[1,1,0,3,0,2,2],[0,0,1,0,0,2,6]]",c2106de3b4ab51249ef861c0f8253be1e62099f356cb7f38a0dba1ef6450e8f8,1691099f7d2c3a5d7338cabb104aa5a89698fd1059e276263caba101e59d130d,one pooled 63-block out-of-fold set,,,
P3,RAW_SIGNAL_281,43,,3,63,3150,0.5396825396825397,0.5244231025743631,0.5434920634920635,0.5273049276068006,"[[5,0,1,0,3,0,0],[0,6,1,0,0,0,2],[0,0,8,0,0,0,1],[0,2,0,5,1,0,1],[6,0,0,0,1,2,0],[0,0,0,4,1,3,1],[1,0,1,0,0,1,6]]",8b9e0fedaf4127a282a67876219203b1a15abb3a57df3b3fc3358aa1a0d1c8c0,744c1d231702a8212e7c9d27ba072cc9119b7233dcd1e1e86dc6a8c578c5f437,one pooled 63-block out-of-fold set,,,
P3,RAW_SIGNAL_281,44,,3,63,3150,0.5873015873015873,0.5719563745230534,0.586031746031746,0.5701243667290682,"[[8,0,1,0,0,0,0],[0,5,1,1,1,0,1],[1,0,6,0,0,1,1],[0,2,0,4,1,1,1],[5,0,0,0,2,2,0],[0,0,0,3,0,6,0],[0,0,1,0,0,2,6]]",b97829c1a71fb938e8d324096e62f1b8fc0cce4c6a966c4945e2f093b7cbd421,ca607da7ec3b7a13e07888abae0e0959ac4721eab016059861df4df3d50ab49c,one pooled 63-block out-of-fold set,,,
P3,RAW_SIGNAL_281,45,,3,63,3150,0.5714285714285714,0.5552724301596481,0.5701587301587302,0.5542329847579127,"[[7,0,1,0,1,0,0],[0,7,0,0,1,0,1],[0,1,7,0,0,0,1],[2,1,0,3,0,2,1],[6,0,0,0,2,1,0],[1,1,0,2,0,4,1],[0,0,1,0,0,2,6]]",c3d4d7a6d66f3819969e2eb9eb2e1f625c634d1f21ac13d844137a6f7eb124b7,02ebaa138db378f9a1d1ea3c1ea5fa48b0be25c9186b836e51b76e1beb350e59,one pooled 63-block out-of-fold set,,,
P3,RAW_SIGNAL_281,46,,3,63,3150,0.5238095238095238,0.5164332399626517,0.5317460317460317,0.523036429634003,"[[7,0,0,0,2,0,0],[0,6,2,1,0,0,0],[1,2,5,0,1,0,0],[1,1,0,4,2,0,1],[6,0,0,0,2,1,0],[0,0,0,3,0,5,1],[0,0,2,0,0,3,4]]",59b25abb2e6550b3dc410d6cf7710ee15d760d7a4801262f161a3f8be765925f,b2cbcc121dc53cfc9e28a16ed2057b3d3e9409932d8d537fb22ffa25a53a76c8,one pooled 63-block out-of-fold set,,,
P3,FIRST_DIFFERENCE_280,42,,3,63,3150,0.3492063492063492,0.33183483183483187,0.33365079365079364,0.31676635557981586,"[[2,1,3,1,1,1,0],[2,2,3,1,0,0,1],[1,1,6,0,0,0,1],[2,0,1,2,0,3,1],[5,0,0,0,1,1,2],[1,0,0,1,0,4,3],[0,0,0,1,1,2,5]]",6aad82dcd76daff83e9db9ab2a6b89df3d403d78cb154cc45a3f7cf4f7c63df7,570eb8f03642f610056c7609478b6d9cc76e9bef7bf27c6fc7c8cbb972c6e854,one pooled 63-block out-of-fold set,,,
P3,FIRST_DIFFERENCE_280,43,,3,63,3150,0.30158730158730157,0.29253839466821213,0.30793650793650795,0.29832640658437576,"[[5,0,1,0,1,1,1],[4,1,2,1,0,0,1],[3,0,3,0,0,1,2],[2,0,0,2,2,2,1],[5,0,0,0,2,1,1],[1,1,0,0,2,3,2],[0,1,2,0,0,3,3]]",7c8b293d81c6b2968e912256de05d036ff04cc6c56075a0a9d0fc3dd5fc32407,421627bc64fdc0ee3338e94cee679e85ab9260550d98a4a5f6ad46ff1697eb41,one pooled 63-block out-of-fold set,,,
P3,FIRST_DIFFERENCE_280,44,,3,63,3150,0.42857142857142855,0.4183389906078982,0.42634920634920637,0.4153168509985559,"[[5,1,0,1,2,0,0],[2,1,3,0,0,1,2],[0,2,5,0,0,0,2],[2,0,0,3,0,3,1],[2,0,0,0,5,1,1],[1,0,0,0,1,5,2],[0,0,1,2,0,3,3]]",fd8ea8d0c41d758f813aa1c0d814f73ed7404663b1f0f273d876a0fdb6b24134,ada7079f5c23269f1eb836f358bad1c936e731def21b85f57a551509c226e0ed,one pooled 63-block out-of-fold set,,,
