position,scheme,target_type,target,metric,replicates,estimate,ci_low,ci_high,note
P2,fold_level_aggregate,representation_contrast,C1_ENCODER_EMBEDDING_MINUS_FIRST_DIFFERENCE_280,mean_fold_block_macro_f1_difference,10000,0.5076895819312962,0.44913419913419905,0.5795670995670996,three synchronized folds resampled as aggregate units
P2,fold_level_aggregate,representation_contrast,RAW_SIGNAL_281_MINUS_C1_ENCODER_EMBEDDING,mean_fold_block_macro_f1_difference,10000,-0.4963250362124647,-0.5740754483611628,-0.4458482787054216,three synchronized folds resampled as aggregate units
P2,fold_level_aggregate,representation_contrast,RAW_SIGNAL_281_MINUS_FIRST_DIFFERENCE_280,mean_fold_block_macro_f1_difference,10000,0.011364545718831403,-0.07992547135404282,0.133718820861678,three synchronized folds resampled as aggregate units
P3,tagid_stratified_block_only,representation,RAW_SIGNAL_281,block_macro_f1,10000,0.5300574760416463,0.4380869496157427,0.6219939923384715,
P3,tagid_stratified_block_only,representation,RAW_SIGNAL_281,block_accuracy,10000,0.5480228571428571,0.4603174603174603,0.634920634920635,
P3,tagid_stratified_block_only,representation,FIRST_DIFFERENCE_280,block_macro_f1,10000,0.34975966944446474,0.2664133936012672,0.43866776375045713,
P3,tagid_stratified_block_only,representation,FIRST_DIFFERENCE_280,block_accuracy,10000,0.3710434920634921,0.292063492063492,0.45396825396825397,
P3,tagid_stratified_block_only,representation,C1_ENCODER_EMBEDDING,block_macro_f1,10000,0.9084489470262037,0.8626354270293034,0.9478457786623422,
P3,tagid_stratified_block_only,representation,C1_ENCODER_EMBEDDING,block_accuracy,10000,0.9144841269841272,0.8730158730158729,0.9492063492063492,
P3,tagid_stratified_block_only,representation_contrast,C1_ENCODER_EMBEDDING_MINUS_FIRST_DIFFERENCE_280,block_macro_f1_difference,10000,0.558689277581739,0.4603230698987725,0.6498594036587508,
P3,tagid_stratified_block_only,representation_contrast,RAW_SIGNAL_281_MINUS_C1_ENCODER_EMBEDDING,block_macro_f1_difference,10000,-0.37839147098455744,-0.4823518806548079,-0.2722503820022939,
P3,tagid_stratified_block_only,representation_contrast,RAW_SIGNAL_281_MINUS_FIRST_DIFFERENCE_280,block_macro_f1_difference,10000,0.1802978065971817,0.08093333648454627,0.2778224401539077,
P3,block_plus_probe_seed,representation_contrast,C1_ENCODER_EMBEDDING_MINUS_FIRST_DIFFERENCE_280,block_macro_f1_difference,10000,0.5577473956028371,0.422742583250142,0.6904892318125753,C1 probe and checkpoint seeds are preregistered as aligned and cannot be independently identified
P3,block_plus_probe_seed,representation_contrast,RAW_SIGNAL_281_MINUS_C1_ENCODER_EMBEDDING,block_macro_f1_difference,10000,-0.37637352535272195,-0.5072699282621379,-0.24250420259210154,C1 probe and checkpoint seeds are preregistered as aligned and cannot be independently identified
P3,block_plus_probe_seed,representation_contrast,RAW_SIGNAL_281_MINUS_FIRST_DIFFERENCE_280,block_macro_f1_difference,10000,0.18137387025011523,0.0668265059573406,0.2950964938589912,C1 probe and checkpoint seeds are preregistered as aligned and cannot be independently identified
