position,representation,probe_seed,class_index,tag_id,precision,recall,f1,support_blocks,unit
P1,C1_ENCODER_EMBEDDING,42,2,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,9,condition_block
P1,C1_ENCODER_EMBEDDING,42,3,4,0.6428571428571429,1.0,0.782608695652174,9,condition_block
P1,C1_ENCODER_EMBEDDING,42,4,5,0.875,0.7777777777777778,0.823529411764706,9,condition_block
P1,C1_ENCODER_EMBEDDING,42,5,6,1.0,0.6666666666666666,0.8,9,condition_block
P1,C1_ENCODER_EMBEDDING,42,6,7,0.625,0.5555555555555556,0.5882352941176471,9,condition_block
P1,C1_ENCODER_EMBEDDING,43,0,1,0.9,1.0,0.9473684210526316,9,condition_block
P1,C1_ENCODER_EMBEDDING,43,1,2,0.9,1.0,0.9473684210526316,9,condition_block
P1,C1_ENCODER_EMBEDDING,43,2,3,1.0,0.8888888888888888,0.9411764705882353,9,condition_block
P1,C1_ENCODER_EMBEDDING,43,3,4,0.9,1.0,0.9473684210526316,9,condition_block
P1,C1_ENCODER_EMBEDDING,43,4,5,0.8888888888888888,0.8888888888888888,0.8888888888888888,9,condition_block
P1,C1_ENCODER_EMBEDDING,43,5,6,1.0,0.7777777777777778,0.8750000000000001,9,condition_block
P1,C1_ENCODER_EMBEDDING,43,6,7,0.7777777777777778,0.7777777777777778,0.7777777777777778,9,condition_block
P1,C1_ENCODER_EMBEDDING,44,0,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,9,condition_block
P1,C1_ENCODER_EMBEDDING,44,1,2,0.75,0.6666666666666666,0.7058823529411765,9,condition_block
P1,C1_ENCODER_EMBEDDING,44,2,3,0.7142857142857143,0.5555555555555556,0.6250000000000001,9,condition_block
P1,C1_ENCODER_EMBEDDING,44,3,4,0.7272727272727273,0.8888888888888888,0.7999999999999999,9,condition_block
P1,C1_ENCODER_EMBEDDING,44,4,5,0.6666666666666666,0.6666666666666666,0.6666666666666666,9,condition_block
P1,C1_ENCODER_EMBEDDING,44,5,6,0.625,0.5555555555555556,0.5882352941176471,9,condition_block
P1,C1_ENCODER_EMBEDDING,44,6,7,0.5454545454545454,0.6666666666666666,0.6,9,condition_block
P1,C1_ENCODER_EMBEDDING,45,0,1,0.875,0.7777777777777778,0.823529411764706,9,condition_block
P1,C1_ENCODER_EMBEDDING,45,1,2,0.8571428571428571,0.6666666666666666,0.75,9,condition_block
P1,C1_ENCODER_EMBEDDING,45,2,3,0.5454545454545454,0.6666666666666666,0.6,9,condition_block
P1,C1_ENCODER_EMBEDDING,45,3,4,0.6,1.0,0.7499999999999999,9,condition_block
