arm,held_position,fold_id,episode_id,episode_family,episode_local,source_seed,learning_rate,encoder_weight_decay,epochs,finetuning_seed,support_rows,query_rows,support_macro_f1,query_macro_f1,query_accuracy,query_balanced_accuracy,query_worst_class_f1,query_recall_by_class,encoder_displacement_frobenius,all_objectives_finite
FULL_FT,P1,S1,0,A,0,42,3e-05,0.0,10,387325642,35,1400,0.4841269841269842,0.17779145283512943,0.21428571428571427,0.21428571428571427,0.0,0.0|0.25|0.0|0.75|0.25|0.0|0.25,0.09200781671806668,True
FULL_FT,P1,S1,0,A,0,42,3e-05,0.0,20,387325642,35,1400,0.5721500721500722,0.17779145283512943,0.21428571428571427,0.21428571428571427,0.0,0.0|0.25|0.0|0.75|0.25|0.0|0.25,0.18278021271285155,True
FULL_FT,P1,S1,0,A,0,42,3e-05,0.0001,5,3265467037,35,1400,0.5113997113997114,0.17849119270683209,0.21428571428571427,0.21428571428571427,0.0,0.0|0.25|0.0|0.75|0.25|0.0|0.25,0.045947830989723826,True
FULL_FT,P1,S1,0,A,0,42,3e-05,0.0001,10,3265467037,35,1400,0.4841269841269842,0.17779145283512943,0.21428571428571427,0.21428571428571427,0.0,0.0|0.25|0.0|0.75|0.25|0.0|0.25,0.09200781671806668,True
FULL_FT,P1,S1,0,A,0,42,3e-05,0.0001,20,3265467037,35,1400,0.5721500721500722,0.17779145283512943,0.21428571428571427,0.21428571428571427,0.0,0.0|0.25|0.0|0.75|0.25|0.0|0.25,0.18278021271285155,True
FULL_FT,P1,S1,0,A,0,42,0.0001,0.0,5,3640755467,35,1400,0.5034425891568749,0.17847756746728413,0.21428571428571427,0.21428571428571427,0.0,0.0|0.25|0.0|0.75|0.25|0.0|0.25,0.10678849943788508,True
FULL_FT,P1,S1,0,A,0,42,0.0001,0.0,10,3640755467,35,1400,0.5691197691197691,0.17779145283512943,0.21428571428571427,0.21428571428571427,0.0,0.0|0.25|0.0|0.75|0.25|0.0|0.25,0.19880788469731756,True
FULL_FT,P1,S1,0,A,0,42,0.0001,0.0,20,3640755467,35,1400,0.740909090909091,0.16617673743422248,0.21428571428571427,0.21428571428571427,0.0,0.0|0.25|0.0|0.75|0.0|0.0|0.5,0.37546766031061424,True
FULL_FT,P1,S1,0,A,0,42,0.0001,0.0001,5,3776369725,35,1400,0.5034425891568749,0.17847756746728413,0.21428571428571427,0.21428571428571427,0.0,0.0|0.25|0.0|0.75|0.25|0.0|0.25,0.10678849943788508,True
FULL_FT,P1,S1,0,A,0,42,0.0001,0.0001,10,3776369725,35,1400,0.5691197691197691,0.17779145283512943,0.21428571428571427,0.21428571428571427,0.0,0.0|0.25|0.0|0.75|0.25|0.0|0.25,0.19880788469731756,True
FULL_FT,P1,S1,0,A,0,42,0.0001,0.0001,20,3776369725,35,1400,0.740909090909091,0.16617673743422248,0.21428571428571427,0.21428571428571427,0.0,0.0|0.25|0.0|0.75|0.0|0.0|0.5,0.37546766031061424,True
FULL_FT,P1,S1,0,A,0,42,0.0003,0.0,5,2102151994,35,1400,0.4979901051329622,0.1433872036412871,0.17857142857142858,0.17857142857142858,0.0,0.0|0.25|0.0|0.75|0.0|0.0|0.25,0.1987156333099936,True
FULL_FT,P1,S1,0,A,0,42,0.0003,0.0,10,2102151994,35,1400,0.6784059078176725,0.20711828713028327,0.25,0.25,0.0,0.0|0.235|0.015|0.75|0.5|0.0|0.25,0.3030662611345407,True
FULL_FT,P1,S1,0,A,0,42,0.0003,0.0,20,2102151994,35,1400,0.7344465058750773,0.19705019629826706,0.24071428571428571,0.24071428571428571,0.0,0.0|0.17|0.265|0.75|0.0|0.0|0.5,0.5037678315955215,True
FULL_FT,P1,S1,0,A,0,42,0.0003,0.0001,5,3792295890,35,1400,0.4979901051329622,0.1433872036412871,0.17857142857142858,0.17857142857142858,0.0,0.0|0.25|0.0|0.75|0.0|0.0|0.25,0.19871605454364044,True
FULL_FT,P1,S1,0,A,0,42,0.0003,0.0001,10,3792295890,35,1400,0.6784059078176725,0.20711828713028327,0.25,0.25,0.0,0.0|0.235|0.015|0.75|0.5|0.0|0.25,0.3030671050169366,True
FULL_FT,P1,S1,0,A,0,42,0.0003,0.0001,20,3792295890,35,1400,0.7344465058750773,0.19705019629826706,0.24071428571428571,0.24071428571428571,0.0,0.0|0.17|0.265|0.75|0.0|0.0|0.5,0.5038024987632918,True
PARTIAL_FT,P1,S1,0,A,0,43,1e-05,0.0,5,3961235414,35,1400,0.2691086691086691,0.20286272168281694,0.25,0.25,0.0,0.0|0.0|0.0|0.75|0.25|0.25|0.5,0.015152495870765384,True
PARTIAL_FT,P1,S1,0,A,0,43,1e-05,0.0,10,3961235414,35,1400,0.2691086691086691,0.20286272168281694,0.25,0.25,0.0,0.0|0.0|0.0|0.75|0.25|0.25|0.5,0.02975372419648471,True
PARTIAL_FT,P1,S1,0,A,0,43,1e-05,0.0,20,3961235414,35,1400,0.300999000999001,0.20286272168281694,0.25,0.25,0.0,0.0|0.0|0.0|0.75|0.25|0.25|0.5,0.058521396092138335,True
PARTIAL_FT,P1,S1,0,A,0,43,1e-05,0.0001,5,631558681,35,1400,0.2691086691086691,0.20286272168281694,0.25,0.25,0.0,0.0|0.0|0.0|0.75|0.25|0.25|0.5,0.015152495870765384,True
PARTIAL_FT,P1,S1,0,A,0,43,1e-05,0.0001,10,631558681,35,1400,0.2691086691086691,0.20286272168281694,0.25,0.25,0.0,0.0|0.0|0.0|0.75|0.25|0.25|0.5,0.02975372419648471,True
PARTIAL_FT,P1,S1,0,A,0,43,1e-05,0.0001,20,631558681,35,1400,0.300999000999001,0.20286272168281694,0.25,0.25,0.0,0.0|0.0|0.0|0.75|0.25|0.25|0.5,0.058521396092138335,True
PARTIAL_FT,P1,S1,0,A,0,43,3e-05,0.0,5,3227243917,35,1400,0.2691086691086691,0.20286272168281694,0.25,0.25,0.0,0.0|0.0|0.0|0.75|0.25|0.25|0.5,0.043611771575360864,True
PARTIAL_FT,P1,S1,0,A,0,43,3e-05,0.0,10,3227243917,35,1400,0.300999000999001,0.20286272168281694,0.25,0.25,0.0,0.0|0.0|0.0|0.75|0.25|0.25|0.5,0.08574970032487704,True
PARTIAL_FT,P1,S1,0,A,0,43,3e-05,0.0,20,3227243917,35,1400,0.29840159840159836,0.20305596086128883,0.25,0.25,0.0,0.0|0.0|0.0|0.75|0.25|0.25|0.5,0.16913645672562563,True
PARTIAL_FT,P1,S1,0,A,0,43,3e-05,0.0001,5,3095515241,35,1400,0.2691086691086691,0.20286272168281694,0.25,0.25,0.0,0.0|0.0|0.0|0.75|0.25|0.25|0.5,0.043611771575360864,True
PARTIAL_FT,P1,S1,0,A,0,43,3e-05,0.0001,10,3095515241,35,1400,0.300999000999001,0.20286272168281694,0.25,0.25,0.0,0.0|0.0|0.0|0.75|0.25|0.25|0.5,0.08574970032487704,True
PARTIAL_FT,P1,S1,0,A,0,43,3e-05,0.0001,20,3095515241,35,1400,0.29840159840159836,0.20305596086128883,0.25,0.25,0.0,0.0|0.0|0.0|0.75|0.25|0.25|0.5,0.16913645672562563,True
PARTIAL_FT,P1,S1,0,A,0,43,0.0001,0.0,5,3338913479,35,1400,0.300999000999001,0.20286272168281694,0.25,0.25,0.0,0.0|0.0|0.0|0.75|0.25|0.25|0.5,0.1322061979277044,True
PARTIAL_FT,P1,S1,0,A,0,43,0.0001,0.0,10,3338913479,35,1400,0.30389610389610383,0.20702526324366569,0.25,0.25,0.0,0.0|0.0|0.0|0.75|0.25|0.25|0.5,0.26010046597589176,True
PARTIAL_FT,P1,S1,0,A,0,43,0.0001,0.0,20,3338913479,35,1400,0.37756132756132754,0.20702526324366569,0.25,0.25,0.0,0.0|0.0|0.0|0.75|0.25|0.25|0.5,0.5031943291601789,True
PARTIAL_FT,P1,S1,0,A,0,43,0.0001,0.0001,5,1075918156,35,1400,0.300999000999001,0.20286272168281694,0.25,0.25,0.0,0.0|0.0|0.0|0.75|0.25|0.25|0.5,0.1322061979277044,True
PARTIAL_FT,P1,S1,0,A,0,43,0.0001,0.0001,10,1075918156,35,1400,0.30389610389610383,0.20702526324366569,0.25,0.25,0.0,0.0|0.0|0.0|0.75|0.25|0.25|0.5,0.26010046597589176,True
PARTIAL_FT,P1,S1,0,A,0,43,0.0001,0.0001,20,1075918156,35,1400,0.37756132756132754,0.20702526324366569,0.25,0.25,0.0,0.0|0.0|0.0|0.75|0.25|0.25|0.5,0.5031943291601789,True
PARTIAL_FT,P1,S1,0,A,0,43,0.0003,0.0,5,1364302805,35,1400,0.4075036075036075,0.20702526324366569,0.25,0.25,0.0,0.0|0.0|0.0|0.75|0.25|0.25|0.5,0.2835646163290679,True
PARTIAL_FT,P1,S1,0,A,0,43,0.0003,0.0,10,1364302805,35,1400,0.32798312798312795,0.20702526324366569,0.25,0.25,0.0,0.0|0.0|0.0|0.75|0.25|0.25|0.5,0.5122929875154563,True
PARTIAL_FT,P1,S1,0,A,0,43,0.0003,0.0,20,1364302805,35,1400,0.496969696969697,0.20189086276042795,0.25,0.25,0.0,0.0|0.0|0.0|0.75|0.25|0.25|0.5,0.9305236375603116,True
PARTIAL_FT,P1,S1,0,A,0,43,0.0003,0.0001,5,4043960962,35,1400,0.4075036075036075,0.20702526324366569,0.25,0.25,0.0,0.0|0.0|0.0|0.75|0.25|0.25|0.5,0.2835650659240487,True
PARTIAL_FT,P1,S1,0,A,0,43,0.0003,0.0001,10,4043960962,35,1400,0.32798312798312795,0.20702526324366569,0.25,0.25,0.0,0.0|0.0|0.0|0.75|0.25|0.25|0.5,0.5122796257277921,True
PARTIAL_FT,P1,S1,0,A,0,43,0.0003,0.0001,20,4043960962,35,1400,0.496969696969697,0.20189086276042795,0.25,0.25,0.0,0.0|0.0|0.0|0.75|0.25|0.25|0.5,0.9305086234343881,True
FULL_FT,P1,S1,0,A,0,43,1e-05,0.0,5,3447310084,35,1400,0.2691086691086691,0.20286272168281694,0.25,0.25,0.0,0.0|0.0|0.0|0.75|0.25|0.25|0.5,0.016955599765006702,True
FULL_FT,P1,S1,0,A,0,43,1e-05,0.0,10,3447310084,35,1400,0.2691086691086691,0.20286272168281694,0.25,0.25,0.0,0.0|0.0|0.0|0.75|0.25|0.25|0.5,0.03357071896451975,True
FULL_FT,P1,S1,0,A,0,43,1e-05,0.0,20,3447310084,35,1400,0.30389610389610383,0.20702526324366569,0.25,0.25,0.0,0.0|0.0|0.0|0.75|0.25|0.25|0.5,0.06722523528143638,True
FULL_FT,P1,S1,0,A,0,43,1e-05,0.0001,5,828156212,35,1400,0.2691086691086691,0.20286272168281694,0.25,0.25,0.0,0.0|0.0|0.0|0.75|0.25|0.25|0.5,0.016955599765006702,True
FULL_FT,P1,S1,0,A,0,43,1e-05,0.0001,10,828156212,35,1400,0.2691086691086691,0.20286272168281694,0.25,0.25,0.0,0.0|0.0|0.0|0.75|0.25|0.25|0.5,0.03357071896451975,True
FULL_FT,P1,S1,0,A,0,43,1e-05,0.0001,20,828156212,35,1400,0.30389610389610383,0.20702526324366569,0.25,0.25,0.0,0.0|0.0|0.0|0.75|0.25|0.25|0.5,0.06722523528143638,True
FULL_FT,P1,S1,0,A,0,43,3e-05,0.0,5,372874880,35,1400,0.3064935064935065,0.20286272168281694,0.25,0.25,0.0,0.0|0.0|0.0|0.75|0.25|0.25|0.5,0.046078209212309894,True
FULL_FT,P1,S1,0,A,0,43,3e-05,0.0,10,372874880,35,1400,0.30389610389610383,0.20702526324366569,0.25,0.25,0.0,0.0|0.0|0.0|0.75|0.25|0.25|0.5,0.09197763851924474,True
FULL_FT,P1,S1,0,A,0,43,3e-05,0.0,20,372874880,35,1400,0.37756132756132754,0.20702526324366569,0.25,0.25,0.0,0.0|0.0|0.0|0.75|0.25|0.25|0.5,0.1828330874206764,True
FULL_FT,P1,S1,0,A,0,43,3e-05,0.0001,5,1507614677,35,1400,0.3064935064935065,0.20286272168281694,0.25,0.25,0.0,0.0|0.0|0.0|0.75|0.25|0.25|0.5,0.046078209212309894,True
