arm,budget,source_seed,support_seed,fold,query_rows,tagid_centroid_ratio_source,tagid_centroid_ratio_adapted,condition_centroid_ratio_source,condition_centroid_ratio_adapted,embedding_mean_cosine_to_source,embedding_rms_displacement
FULL_FT,35,42,104729,2,1050,0.39355465087183666,0.39792501675748676,0.15314837067103762,0.154920881711748,0.9632936416782539,0.13309713536411838
FULL_FT,35,43,104729,0,1050,0.35083553380685667,0.33870823140130435,0.38201907862816953,0.4045247259531753,0.9526227992225159,0.15032704363406568
FULL_FT,35,43,104729,1,1050,0.4318675011667974,0.39357213032340155,0.23652941827618412,0.2576992213046284,0.9681029108407683,0.12113430653210604
FULL_FT,35,43,104729,2,1050,0.2850925954436252,0.30709712451272436,0.23770033773934993,0.21501434230613847,0.9559541919347632,0.14403497758657824
FULL_FT,35,44,104729,0,1050,0.3359376394132354,0.3340004960205885,0.4439472881156281,0.4262173692542488,0.9557687382367651,0.13522148866412473
FULL_FT,35,44,104729,1,1050,0.3252165218598714,0.30763544474596266,0.363643755463654,0.38236911282210795,0.9522403775914194,0.13986897144465935
FULL_FT,35,44,104729,2,1050,0.31484181963156,0.3395870935543052,0.24465927245371194,0.21502011921875855,0.9529801880744727,0.13744821229928875
FULL_FT,35,45,104729,0,1050,0.291454039461642,0.305865447276317,0.5925137757724315,0.5488586523924671,0.9558303443507508,0.14026493233993667
FULL_FT,35,45,104729,1,1050,0.399019870354545,0.3690382882854528,0.3571025649385932,0.3637472629034822,0.9684255386622524,0.11788104123743727
FULL_FT,35,45,104729,2,1050,0.35867493003009143,0.36208103204528086,0.24192022701435978,0.23185095115523027,0.9482302618935808,0.15140455316698892
FULL_FT,35,46,104729,0,1050,0.28430178392109473,0.29543618958507395,0.48597869679004074,0.4728754119181334,0.962046795736749,0.12900290386010355
FULL_FT,35,46,104729,1,1050,0.3619087135286337,0.34501884004243555,0.2742901087423937,0.29160777795455783,0.968010520800623,0.11833771400918569
FULL_FT,35,46,104729,2,1050,0.39790910279146224,0.38024084567723265,0.1826697627210754,0.1811916971418982,0.9553052446317605,0.13813282399874854
