method,budget,true_class_index,predicted_class_index,count_across_100_units,row_normalized
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,5,5,5801,0.12891111111111112
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,5,6,1968,0.04373333333333333
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,6,0,10883,0.24184444444444445
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,6,1,4090,0.0908888888888889
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,6,2,4931,0.10957777777777777
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,6,3,5493,0.12206666666666667
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,6,4,1000,0.022222222222222223
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,6,5,6556,0.1456888888888889
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,100,6,6,12047,0.2677111111111111
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,0,0,3727,0.08282222222222223
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,0,1,6000,0.13333333333333333
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,0,2,9069,0.20153333333333334
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,0,3,4057,0.09015555555555556
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,0,4,4568,0.10151111111111111
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,0,5,6051,0.13446666666666668
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,0,6,11528,0.2561777777777778
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,1,0,4023,0.0894
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,1,1,6742,0.14982222222222222
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,1,2,12709,0.28242222222222224
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,1,3,7695,0.171
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,1,4,1319,0.02931111111111111
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,1,5,6268,0.13928888888888888
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,1,6,6244,0.13875555555555555
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,2,0,9660,0.21466666666666667
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,2,1,3453,0.07673333333333333
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,2,2,8631,0.1918
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,2,3,1057,0.02348888888888889
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,2,4,2611,0.058022222222222225
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,2,5,12886,0.28635555555555553
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,2,6,6702,0.14893333333333333
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,3,0,8762,0.1947111111111111
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,3,1,9751,0.21668888888888888
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,3,2,7775,0.17277777777777778
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,3,3,1915,0.042555555555555555
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,3,4,2471,0.05491111111111111
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,3,5,3986,0.08857777777777778
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,3,6,10340,0.22977777777777778
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,4,0,4058,0.09017777777777777
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,4,1,4283,0.09517777777777778
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,4,2,6181,0.13735555555555556
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,4,3,9586,0.21302222222222222
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,4,4,5932,0.13182222222222223
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,4,5,9040,0.2008888888888889
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,4,6,5920,0.13155555555555556
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,500,5,0,8366,0.1859111111111111
