arm,budget,source_seed,support_seed,fold,prediction_sha256,prediction_frozen_before_open,label_access_phase,seal_state_after_open
PARTIAL_FT,7,42,280001,0,500982d2229daa63bb5100061ce3502e61c3a3912b9d9856e5fbc4e9c4e1a594,True,FINAL_SCORING_ONLY,LABELS_OPENED
FULL_FT,7,42,280001,0,1b461145610fac3a69ddf2b189d74ee61540ca54e6aa2b879058c1eb40cfa47e,True,FINAL_SCORING_ONLY,LABELS_OPENED
PARTIAL_FT,35,42,280001,0,a42275ffb79e9f46e88c05dea638a6a46f5e51f720df459d8922f0ebd6bfcbf4,True,FINAL_SCORING_ONLY,LABELS_OPENED
FULL_FT,35,42,280001,0,3ef0d52833c3d678bdbdb86d5db122f72b2a8c1f96fff0a33f711b52c10d7c27,True,FINAL_SCORING_ONLY,LABELS_OPENED
PARTIAL_FT,100,42,280001,0,ec0d654324b2ce56b3d487c7352a5b9b825456b5acb7b7b2da6abf446ff7096f,True,FINAL_SCORING_ONLY,LABELS_OPENED
FULL_FT,100,42,280001,0,19d405048e2309d3105e7358e6c9ddbba64fa4768f678df1aa0feed1d1bbc9ec,True,FINAL_SCORING_ONLY,LABELS_OPENED
PARTIAL_FT,500,42,280001,0,7bc423b49b352ec2aeca9f59f30de48fae81e53bb0fe729ed97879781df80c81,True,FINAL_SCORING_ONLY,LABELS_OPENED
FULL_FT,500,42,280001,0,a839fcabbbca3023faaa713d4121ffa7ad5664d8e340f8e9b2c3090ca74d7534,True,FINAL_SCORING_ONLY,LABELS_OPENED
PARTIAL_FT,7,42,305093,0,393b47a03cced0cfee75caadc7ac5a239eeef76eb808654b488423a53de0dda2,True,FINAL_SCORING_ONLY,LABELS_OPENED
FULL_FT,7,42,305093,0,c7efc586a3582e494b568a92fd057060a07464f9aef991d5c75a0c44c5ec171b,True,FINAL_SCORING_ONLY,LABELS_OPENED
PARTIAL_FT,35,42,305093,0,b9bf73bf68c79aa1952ece9945a955b8f749da248b35fcc0d15a295caba41f7f,True,FINAL_SCORING_ONLY,LABELS_OPENED
FULL_FT,35,42,305093,0,ab69ab560936a5d8aa73a332d6feef322af2224c2ea2fc3548673f836c28d4a2,True,FINAL_SCORING_ONLY,LABELS_OPENED
PARTIAL_FT,100,42,305093,0,7bc423b49b352ec2aeca9f59f30de48fae81e53bb0fe729ed97879781df80c81,True,FINAL_SCORING_ONLY,LABELS_OPENED
FULL_FT,100,42,305093,0,e0c48b7f39d6942ddab8d22ddf8577ace3be204f3d0d0503248da0790a7a2b42,True,FINAL_SCORING_ONLY,LABELS_OPENED
PARTIAL_FT,500,42,305093,0,7bc423b49b352ec2aeca9f59f30de48fae81e53bb0fe729ed97879781df80c81,True,FINAL_SCORING_ONLY,LABELS_OPENED
FULL_FT,500,42,305093,0,2c4f727d964eb8de14255429a8b63275f2fc56c07d5152642996991b4776c8b1,True,FINAL_SCORING_ONLY,LABELS_OPENED
PARTIAL_FT,7,42,330017,0,50831290eb8ecdb9c1021f0b8e6b750899cdb06753a86af4f3ecaa6c7fbc7521,True,FINAL_SCORING_ONLY,LABELS_OPENED
FULL_FT,7,42,330017,0,dd33349f91d0799f26d499e371e65fe694d4c9e224f68929069f48a22b2a6fe0,True,FINAL_SCORING_ONLY,LABELS_OPENED
PARTIAL_FT,35,42,330017,0,4f669d770cfec2812a4fef5fa23ce35ee0d486fd91b0de8106cbbb62fdbb3d74,True,FINAL_SCORING_ONLY,LABELS_OPENED
FULL_FT,35,42,330017,0,d8983b151370465cbc22fa91ed3f7b60f2717035a38bd1114ff8fb7cec413479,True,FINAL_SCORING_ONLY,LABELS_OPENED
PARTIAL_FT,100,42,330017,0,adfe0b208f179804f43ef73bf7819b9e0a4d27e909d31e216857c0d41faf7de7,True,FINAL_SCORING_ONLY,LABELS_OPENED
FULL_FT,100,42,330017,0,6c0adc1f76266fa570b54469842c8c3135d0d5a2da00e450d1649297347525ee,True,FINAL_SCORING_ONLY,LABELS_OPENED
PARTIAL_FT,500,42,330017,0,7bc423b49b352ec2aeca9f59f30de48fae81e53bb0fe729ed97879781df80c81,True,FINAL_SCORING_ONLY,LABELS_OPENED
FULL_FT,500,42,330017,0,1fa6f1120b678ff4f15529ffb6eaadff7e27b98f9d5403d314fecb41a66207c1,True,FINAL_SCORING_ONLY,LABELS_OPENED
PARTIAL_FT,7,42,355031,0,8215f5254ba77565c75318ec59eae0c3c992643c8c78085f5da1b3a45841282c,True,FINAL_SCORING_ONLY,LABELS_OPENED
FULL_FT,7,42,355031,0,dd33349f91d0799f26d499e371e65fe694d4c9e224f68929069f48a22b2a6fe0,True,FINAL_SCORING_ONLY,LABELS_OPENED
PARTIAL_FT,35,42,355031,0,eab8c7d77c77a414754de607316cd8148de0f487d58d13b2a88fa8fcf33f2dd8,True,FINAL_SCORING_ONLY,LABELS_OPENED
FULL_FT,35,42,355031,0,92ba1b806a2281016af53cde2ab08736666ad162d982178719725c84e827b8c3,True,FINAL_SCORING_ONLY,LABELS_OPENED
PARTIAL_FT,100,42,355031,0,fe3d29989eae77b628ce5588c1144546e16604896804c7986e4553449da5c4c3,True,FINAL_SCORING_ONLY,LABELS_OPENED
FULL_FT,100,42,355031,0,46e32fa0a8f245016d41fd7ac99181f2618a94ff51c34b1f2f4611c679167049,True,FINAL_SCORING_ONLY,LABELS_OPENED
PARTIAL_FT,500,42,355031,0,7bc423b49b352ec2aeca9f59f30de48fae81e53bb0fe729ed97879781df80c81,True,FINAL_SCORING_ONLY,LABELS_OPENED
FULL_FT,500,42,355031,0,56d7db2a0bc8a864255f62827cc70ee59b30ddad6fad9077056b863c1ef4157c,True,FINAL_SCORING_ONLY,LABELS_OPENED
PARTIAL_FT,7,42,380041,0,07c4c1af03c9161a231de929fca3fad5f83cc0db45f085178ba3bc61d78359d0,True,FINAL_SCORING_ONLY,LABELS_OPENED
FULL_FT,7,42,380041,0,a292ddcd2ca27a3ea4d6a7a56787b89ca9287be1133bf9cfa7cc33f8c0bace1e,True,FINAL_SCORING_ONLY,LABELS_OPENED
PARTIAL_FT,35,42,380041,0,ac5db4ae8927a2885e17ffe9069bea7d964777e520c73a91bcc89676940246ae,True,FINAL_SCORING_ONLY,LABELS_OPENED
