method,budget,source_seed,support_seed,accuracy,macro_f1,balanced_accuracy,worst_class_f1,prediction_sha256
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,7,44,530017,0.1692063492063492,0.15994556662658851,0.1692063492063492,0.0,202d15ae7020bc37b6b943325d31e34a5f858398209cf0e6effafd0b9e2f49be
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,7,44,555029,0.09682539682539683,0.09296925986424107,0.09682539682539681,0.0,052a7a13d959bfee70b3f237bae7a54a13d235ed8d50101b2399ca18753174cf
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,7,44,580031,0.11523809523809524,0.1051125875584222,0.11523809523809524,0.0,1ae3d57e9b1e9c601c591b46966b0acf1c4ed08e62975db968e427895c869160
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,7,45,104729,0.12380952380952381,0.1161649550255738,0.12380952380952381,0.0,f8b68457da95b692eb691ca024b5f3d44fd8b5d138f3fb1c2f35e6642aad0b95
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,7,45,130363,0.12380952380952381,0.11082597091750275,0.1238095238095238,0.0,53cfcf0c447444bd9d5cb5fef87d8eebce0262ae18c2e7df42052df18b3c068a
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,7,45,155921,0.11492063492063492,0.11458029739349983,0.11492063492063494,0.016203703703703703,ae46ab2ab14ebe856d158e28bd2dd72538d72af60dffb84dacf5ab4ac6aac9f7
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,7,45,181081,0.09365079365079365,0.09139213805736267,0.09365079365079365,0.0,4ed0604e9a0e22381f41ef9c309a4146b2a00b4e6221eca0c87d11f6cd515c9c
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,7,45,205439,0.09936507936507936,0.09102177008069054,0.09936507936507939,0.0,37b6d994fb787ca3ab282af1e7e544b5ed653f74548eb934f025480785b6414c
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,7,45,230003,0.1126984126984127,0.09732459390978712,0.11269841269841271,0.0,8ebea4af21e7bc9de0e1132538afd9d545b98018f044917e7226322c54dc707d
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,7,45,254959,0.10285714285714286,0.1015118907969297,0.10285714285714286,0.0,684dce3fe7aaf5d57ffbc350ecbb90d122408397a9468840b6fb2905562b2e59
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,7,45,280001,0.10666666666666667,0.11441888795018203,0.10666666666666669,0.0,694fe66edb77f879e1025e708777293d503959cf451f9f85f3ffcf665314a7be
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,7,45,305093,0.1307936507936508,0.1197935082480065,0.1307936507936508,0.0,d510e6f92e1fa1eb4ff7c9ea8adfdad6686c1029b7e668907b389d331d50d168
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,7,45,330017,0.08888888888888889,0.08414153713053585,0.08888888888888889,0.0,37ea07272deec4dd5cd4cc0fbe2ca45a5ec4d0e02fdd67dfa576bdd2ceed98ed
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,7,45,355031,0.0838095238095238,0.08022507104452128,0.0838095238095238,0.0,66a898e35263265652d57d1080e227073878d053890dade2491c74feba5fa5d1
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,7,45,380041,0.12222222222222222,0.1172494800583237,0.12222222222222222,0.005314437555358724,1c4ef26b7e2d17ce3a72bc70e029f25e9fec0f14137a1f722c885109eade6225
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,7,45,405019,0.12253968253968255,0.12585693247900004,0.12253968253968253,0.0,14fe7a05473af627dc423e2bd37ebaa434e2735ef8286614396c4ad9b6c87a2a
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,7,45,430007,0.10793650793650794,0.10437531548607427,0.10793650793650793,0.0,72a16889803b0c76a1ce54f3ed9702c28c3ec7c8165e337807854392c89b3f04
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,7,45,455003,0.10888888888888888,0.10511099151377534,0.10888888888888888,0.0,5a5ad710c3b65f00603768ccbd70769351ceda82a5c6d3fd02b5c74c1dae596f
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,7,45,480017,0.11492063492063492,0.1108463951557828,0.11492063492063494,0.0,e7e2e904fb9c48b15ac65a3cd8fd6ef6513fa310af39aacaff0e22ba4187168f
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,7,45,505027,0.09492063492063492,0.08931381236225204,0.09492063492063492,0.0,995449f420c693da5e72d915116345d33ca91ca8344f693c491f43bd8e1cdaa3
