method,budget,strategy,source_seed,support_seed,class_index,block_precision,block_recall,block_f1,row_precision,row_recall,row_f1
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,JOINT_FACTOR_COVERAGE,42,205439,0,0.14285714285714285,0.2222222222222222,0.17391304347826086,0.14180206794682423,0.21333333333333335,0.17036379769299023
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,JOINT_FACTOR_COVERAGE,42,205439,1,0.14285714285714285,0.1111111111111111,0.125,0.14921465968586387,0.12666666666666668,0.13701923076923078
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,JOINT_FACTOR_COVERAGE,42,205439,2,0.25,0.2222222222222222,0.23529411764705882,0.24875621890547264,0.2222222222222222,0.2347417840375587
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,JOINT_FACTOR_COVERAGE,42,205439,3,0.09090909090909091,0.1111111111111111,0.1,0.08876811594202899,0.10888888888888888,0.09780439121756487
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,JOINT_FACTOR_COVERAGE,42,205439,4,0.5,0.1111111111111111,0.18181818181818182,0.43333333333333335,0.11555555555555555,0.1824561403508772
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,JOINT_FACTOR_COVERAGE,42,205439,5,0.08333333333333333,0.1111111111111111,0.09523809523809523,0.08264462809917356,0.1111111111111111,0.0947867298578199
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,JOINT_FACTOR_COVERAGE,42,205439,6,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.12135922330097088,0.1111111111111111,0.11600928074245939
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,JOINT_FACTOR_COVERAGE,43,104729,0,0.0,0.0,0.0,0.0,0.0,0.0
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,JOINT_FACTOR_COVERAGE,43,104729,1,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.21593291404612158,0.2288888888888889,0.2222222222222222
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,JOINT_FACTOR_COVERAGE,43,104729,2,0.2,0.2222222222222222,0.21052631578947367,0.21011673151750973,0.24,0.22406639004149378
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,JOINT_FACTOR_COVERAGE,43,104729,3,0.18181818181818182,0.2222222222222222,0.2,0.1553030303030303,0.18222222222222223,0.16768916155419222
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,JOINT_FACTOR_COVERAGE,43,104729,4,0.5,0.2222222222222222,0.3076923076923077,0.4669811320754717,0.22,0.2990936555891239
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,JOINT_FACTOR_COVERAGE,43,104729,5,0.0,0.0,0.0,0.007556675062972292,0.006666666666666667,0.0070838252656434475
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,JOINT_FACTOR_COVERAGE,43,104729,6,0.16666666666666666,0.2222222222222222,0.19047619047619047,0.17667844522968199,0.2222222222222222,0.1968503937007874
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,JOINT_FACTOR_COVERAGE,43,130363,0,0.08333333333333333,0.1111111111111111,0.09523809523809523,0.08145580589254767,0.10444444444444445,0.09152872444011685
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,JOINT_FACTOR_COVERAGE,43,130363,1,0.3333333333333333,0.2222222222222222,0.26666666666666666,0.3086053412462908,0.2311111111111111,0.26429479034307496
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,JOINT_FACTOR_COVERAGE,43,130363,2,0.18181818181818182,0.2222222222222222,0.2,0.18083182640144665,0.2222222222222222,0.19940179461615154
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,JOINT_FACTOR_COVERAGE,43,130363,3,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.10352422907488987,0.10444444444444445,0.10398230088495575
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,JOINT_FACTOR_COVERAGE,43,130363,4,0.0,0.0,0.0,0.0,0.0,0.0
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,JOINT_FACTOR_COVERAGE,43,130363,5,0.0,0.0,0.0,0.0,0.0,0.0
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,JOINT_FACTOR_COVERAGE,43,130363,6,0.16666666666666666,0.2222222222222222,0.19047619047619047,0.17128027681660898,0.22,0.1926070038910506
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,JOINT_FACTOR_COVERAGE,43,155921,0,0.07142857142857142,0.1111111111111111,0.08695652173913043,0.07286821705426356,0.10444444444444445,0.08584474885844749
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,JOINT_FACTOR_COVERAGE,43,155921,1,0.25,0.2222222222222222,0.23529411764705882,0.23636363636363636,0.2311111111111111,0.23370786516853934
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,JOINT_FACTOR_COVERAGE,43,155921,2,0.21428571428571427,0.3333333333333333,0.2608695652173913,0.21203830369357046,0.34444444444444444,0.26248941574936496
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,JOINT_FACTOR_COVERAGE,43,155921,3,0.125,0.1111111111111111,0.11764705882352941,0.11633663366336634,0.10444444444444445,0.11007025761124122
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,JOINT_FACTOR_COVERAGE,43,155921,4,0.16666666666666666,0.1111111111111111,0.13333333333333333,0.16556291390728478,0.1111111111111111,0.13297872340425532
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,JOINT_FACTOR_COVERAGE,43,155921,5,0.0,0.0,0.0,0.0,0.0,0.0
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,JOINT_FACTOR_COVERAGE,43,155921,6,0.14285714285714285,0.1111111111111111,0.125,0.15015015015015015,0.1111111111111111,0.1277139208173691
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,JOINT_FACTOR_COVERAGE,43,181081,0,0.15384615384615385,0.2222222222222222,0.18181818181818182,0.127831715210356,0.17555555555555555,0.14794007490636704
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,JOINT_FACTOR_COVERAGE,43,181081,1,0.25,0.2222222222222222,0.23529411764705882,0.24074074074074073,0.2311111111111111,0.23582766439909297
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,JOINT_FACTOR_COVERAGE,43,181081,2,0.2,0.2222222222222222,0.21052631578947367,0.1984126984126984,0.2222222222222222,0.20964360587002095
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,JOINT_FACTOR_COVERAGE,43,181081,3,0.125,0.1111111111111111,0.11764705882352941,0.11058823529411765,0.10444444444444445,0.10742857142857143
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,JOINT_FACTOR_COVERAGE,43,181081,4,0.2,0.1111111111111111,0.14285714285714285,0.1934156378600823,0.10444444444444445,0.13564213564213565
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,JOINT_FACTOR_COVERAGE,43,181081,5,0.0,0.0,0.0,0.0,0.0,0.0
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,JOINT_FACTOR_COVERAGE,43,181081,6,0.18181818181818182,0.2222222222222222,0.2,0.1875,0.22,0.20245398773006135
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,JOINT_FACTOR_COVERAGE,43,205439,0,0.0,0.0,0.0,0.0,0.0,0.0
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,JOINT_FACTOR_COVERAGE,43,205439,1,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2175732217573222,0.2311111111111111,0.22413793103448276
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,JOINT_FACTOR_COVERAGE,43,205439,2,0.2,0.2222222222222222,0.21052631578947367,0.21052631578947367,0.24,0.22429906542056074
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,JOINT_FACTOR_COVERAGE,43,205439,3,0.1,0.1111111111111111,0.10526315789473684,0.1062124248496994,0.11777777777777777,0.11169652265542676
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,JOINT_FACTOR_COVERAGE,43,205439,4,0.5,0.2222222222222222,0.3076923076923077,0.4669811320754717,0.22,0.2990936555891239
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,JOINT_FACTOR_COVERAGE,43,205439,5,0.0,0.0,0.0,0.007575757575757576,0.006666666666666667,0.0070921985815602835
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,JOINT_FACTOR_COVERAGE,43,205439,6,0.1,0.1111111111111111,0.10526315789473684,0.10706638115631692,0.1111111111111111,0.10905125408942203
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,JOINT_FACTOR_COVERAGE,44,104729,0,0.0,0.0,0.0,0.006024096385542169,0.006666666666666667,0.006329113924050633
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,JOINT_FACTOR_COVERAGE,44,104729,1,0.1,0.1111111111111111,0.10526315789473684,0.10136452241715399,0.11555555555555555,0.10799584631360332
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,JOINT_FACTOR_COVERAGE,44,104729,2,0.16666666666666666,0.1111111111111111,0.13333333333333333,0.16233766233766234,0.1111111111111111,0.13192612137203166
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,JOINT_FACTOR_COVERAGE,44,104729,3,0.09090909090909091,0.1111111111111111,0.1,0.0673076923076923,0.07777777777777778,0.07216494845360824
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,JOINT_FACTOR_COVERAGE,44,104729,4,0.16666666666666666,0.1111111111111111,0.13333333333333333,0.175,0.12444444444444444,0.14545454545454545
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,JOINT_FACTOR_COVERAGE,44,104729,5,0.125,0.1111111111111111,0.11764705882352941,0.13559322033898305,0.12444444444444444,0.12977983777520277
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,JOINT_FACTOR_COVERAGE,44,104729,6,0.16666666666666666,0.2222222222222222,0.19047619047619047,0.17301038062283736,0.2222222222222222,0.19455252918287938
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,JOINT_FACTOR_COVERAGE,44,130363,0,0.1,0.1111111111111111,0.10526315789473684,0.09343936381709742,0.10444444444444445,0.09863588667366212
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,JOINT_FACTOR_COVERAGE,44,130363,1,0.125,0.1111111111111111,0.11764705882352941,0.10551558752997602,0.09777777777777778,0.10149942329873125
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,JOINT_FACTOR_COVERAGE,44,130363,2,0.125,0.1111111111111111,0.11764705882352941,0.12345679012345678,0.1111111111111111,0.11695906432748537
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,JOINT_FACTOR_COVERAGE,44,130363,3,0.18181818181818182,0.2222222222222222,0.2,0.17375231053604437,0.2088888888888889,0.18970736629667004
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,JOINT_FACTOR_COVERAGE,44,130363,4,0.125,0.1111111111111111,0.11764705882352941,0.13730569948186527,0.11777777777777777,0.12679425837320574
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,JOINT_FACTOR_COVERAGE,44,130363,5,0.25,0.2222222222222222,0.23529411764705882,0.26785714285714285,0.23333333333333334,0.2494061757719715
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,JOINT_FACTOR_COVERAGE,44,130363,6,0.2,0.2222222222222222,0.21052631578947367,0.1976284584980237,0.2222222222222222,0.20920502092050208
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,JOINT_FACTOR_COVERAGE,44,155921,0,0.08333333333333333,0.1111111111111111,0.09523809523809523,0.07730263157894737,0.10444444444444445,0.0888468809073724
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,JOINT_FACTOR_COVERAGE,44,155921,1,0.18181818181818182,0.2222222222222222,0.2,0.1690909090909091,0.20666666666666667,0.186
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,JOINT_FACTOR_COVERAGE,44,155921,2,0.16666666666666666,0.1111111111111111,0.13333333333333333,0.15723270440251572,0.1111111111111111,0.13020833333333334
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,JOINT_FACTOR_COVERAGE,44,155921,3,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.10561797752808989,0.10444444444444445,0.10502793296089385
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,JOINT_FACTOR_COVERAGE,44,155921,4,0.14285714285714285,0.1111111111111111,0.125,0.14705882352941177,0.1111111111111111,0.12658227848101267
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,JOINT_FACTOR_COVERAGE,44,155921,5,0.2,0.2222222222222222,0.21052631578947367,0.21604938271604937,0.23333333333333334,0.22435897435897437
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,JOINT_FACTOR_COVERAGE,44,155921,6,0.125,0.1111111111111111,0.11764705882352941,0.12655086848635236,0.11333333333333333,0.11957796014067995
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,JOINT_FACTOR_COVERAGE,44,181081,0,0.1,0.1111111111111111,0.10526315789473684,0.094,0.10444444444444445,0.09894736842105263
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,JOINT_FACTOR_COVERAGE,44,181081,1,0.1,0.1111111111111111,0.10526315789473684,0.06438631790744467,0.07111111111111111,0.0675818373812038
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,JOINT_FACTOR_COVERAGE,44,181081,2,0.0,0.0,0.0,0.0,0.0,0.0
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,JOINT_FACTOR_COVERAGE,44,181081,3,0.18181818181818182,0.2222222222222222,0.2,0.17375231053604437,0.2088888888888889,0.18970736629667004
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,JOINT_FACTOR_COVERAGE,44,181081,4,0.14285714285714285,0.1111111111111111,0.125,0.15229885057471265,0.11777777777777777,0.13283208020050125
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,JOINT_FACTOR_COVERAGE,44,181081,5,0.25,0.2222222222222222,0.23529411764705882,0.26785714285714285,0.23333333333333334,0.2494061757719715
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,JOINT_FACTOR_COVERAGE,44,181081,6,0.2727272727272727,0.3333333333333333,0.3,0.2670250896057348,0.33111111111111113,0.29563492063492064
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,JOINT_FACTOR_COVERAGE,44,205439,0,0.0,0.0,0.0,0.006564551422319475,0.006666666666666667,0.006615214994487321
