contrast_id,category,metric,baseline_method,baseline_budget,baseline_strategy,comparison_method,comparison_budget,comparison_strategy,paired_seed_units,valid_paired_seed_units,mean_effect,ci_95_lower,ci_95_upper,bootstrap_replicates,leave_one_source_means_all_positive,leave_one_support_means_all_positive,leave_one_source_means,leave_one_support_means,interpretation_valid
TARGET_ONLY_COSINE_PROTOTYPE|5|JOINT_FACTOR_COVERAGE_MINUS_FS0|accuracy,ADAPTED_VERSUS_MATCHED_FS0,block_accuracy,FS0_FROZEN_SOURCE_HEAD,0,FS0_FROZEN_SOURCE_HEAD,TARGET_ONLY_COSINE_PROTOTYPE,5,JOINT_FACTOR_COVERAGE,25,25,-0.02412698412698413,-0.08888888888888888,0.03873015873015873,10000,False,False,-0.0142857143;-0.0325396825;-0.0412698413;-0.0166666667;-0.0158730159,-0.0230158730;-0.0206349206;-0.0285714286;-0.0238095238;-0.0246031746,True
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION|1|RANDOM_BLOCK_MINUS_FS0|macro_f1,ADAPTED_VERSUS_MATCHED_FS0,block_macro_f1,FS0_FROZEN_SOURCE_HEAD,0,FS0_FROZEN_SOURCE_HEAD,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,1,RANDOM_BLOCK,25,21,0.023366387563455042,-0.014805744764309244,0.06116099623135016,10000,True,True,0.0293341287;0.0207114147;0.0219316341;0.0342448454;0.0106099149,0.0226609861;0.0194171081;0.0199701605;0.0258767347;0.0289069483,False
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION|1|RANDOM_BLOCK_MINUS_FS0|accuracy,ADAPTED_VERSUS_MATCHED_FS0,block_accuracy,FS0_FROZEN_SOURCE_HEAD,0,FS0_FROZEN_SOURCE_HEAD,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,1,RANDOM_BLOCK,25,21,-0.016507936507936506,-0.057142857142857134,0.027936507936507936,10000,False,False,-0.0095238095;-0.0261904762;-0.0230158730;0.0007936508;-0.0246031746,-0.0174603175;-0.0214285714;-0.0190476190;-0.0134920635;-0.0111111111,False
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION|3|ER_BALANCED_MINUS_RANDOM|macro_f1,MATCHED_BUDGET_FACTOR_STRATEGY,block_macro_f1,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,RANDOM_BLOCK,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,ER_BALANCED,25,0,0.0021452538208101444,-0.01542115431744558,0.018793432857409784,10000,False,False,0.0068703509;-0.0012792490;0.0024078095;0.0035421294;-0.0008147717,0.0058341209;0.0029652617;0.0055411697;-0.0033891415;-0.0002251416,False
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION|3|ER_BALANCED_MINUS_RANDOM|accuracy,MATCHED_BUDGET_FACTOR_STRATEGY,block_accuracy,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,RANDOM_BLOCK,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,ER_BALANCED,25,0,-0.0019047619047619048,-0.022222222222222223,0.01714285714285714,10000,False,False,0.0007936508;-0.0047619048;-0.0007936508;-0.0007936508;-0.0039682540,0.0015873016;-0.0007936508;0.0023809524;-0.0095238095;-0.0031746032,False
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION|3|SURFACE_BALANCED_MINUS_RANDOM|macro_f1,MATCHED_BUDGET_FACTOR_STRATEGY,block_macro_f1,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,RANDOM_BLOCK,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,SURFACE_BALANCED,25,0,0.0016377884717849915,-0.013213596722543222,0.015562971436750641,10000,False,False,0.0029590804;-0.0032464775;0.0017405428;0.0059756869;0.0007601098,-0.0009636047;0.0055873279;0.0063510972;0.0015674520;-0.0043533302,False
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION|3|SURFACE_BALANCED_MINUS_RANDOM|accuracy,MATCHED_BUDGET_FACTOR_STRATEGY,block_accuracy,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,RANDOM_BLOCK,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,SURFACE_BALANCED,25,0,0.0025396825396825397,-0.012698412698412698,0.01714285714285714,10000,False,False,0.0023809524;0.0000000000;0.0039682540;0.0055555556;0.0007936508,0.0000000000;0.0055555556;0.0071428571;0.0015873016;-0.0015873016,False
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION|3|JOINT_FACTOR_COVERAGE_MINUS_RANDOM|macro_f1,MATCHED_BUDGET_FACTOR_STRATEGY,block_macro_f1,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,RANDOM_BLOCK,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,JOINT_FACTOR_COVERAGE,25,0,-0.0038048414458409997,-0.022275366768098645,0.013136086768458673,10000,False,False,-0.0005269998;-0.0031731697;-0.0094189707;-0.0005512102;-0.0053538568,-0.0023955539;-0.0000236490;-0.0035640368;-0.0061817320;-0.0068592354,False
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION|3|JOINT_FACTOR_COVERAGE_MINUS_RANDOM|accuracy,MATCHED_BUDGET_FACTOR_STRATEGY,block_accuracy,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,RANDOM_BLOCK,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,JOINT_FACTOR_COVERAGE,25,0,-0.008888888888888889,-0.029206349206349205,0.009523809523809523,10000,False,False,-0.0071428571;-0.0071428571;-0.0142857143;-0.0055555556;-0.0103174603,-0.0071428571;-0.0055555556;-0.0079365079;-0.0134920635;-0.0103174603,False
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION|3|RANDOM_BLOCK_MINUS_FS0|macro_f1,ADAPTED_VERSUS_MATCHED_FS0,block_macro_f1,FS0_FROZEN_SOURCE_HEAD,0,FS0_FROZEN_SOURCE_HEAD,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,RANDOM_BLOCK,25,0,0.025168493907193598,-0.018646228848216973,0.07083326959756253,10000,True,True,0.0226034964;0.0211225931;0.0266790726;0.0319318389;0.0235054687,0.0240877245;0.0217088861;0.0251725436;0.0258742657;0.0289990496,False
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION|3|RANDOM_BLOCK_MINUS_FS0|accuracy,ADAPTED_VERSUS_MATCHED_FS0,block_accuracy,FS0_FROZEN_SOURCE_HEAD,0,FS0_FROZEN_SOURCE_HEAD,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,RANDOM_BLOCK,25,0,-0.016507936507936506,-0.06285714285714286,0.03301587301587301,10000,False,False,-0.0158730159;-0.0285714286;-0.0198412698;-0.0039682540;-0.0142857143,-0.0174603175;-0.0198412698;-0.0174603175;-0.0142857143;-0.0134920635,False
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION|3|ER_BALANCED_MINUS_FS0|macro_f1,ADAPTED_VERSUS_MATCHED_FS0,block_macro_f1,FS0_FROZEN_SOURCE_HEAD,0,FS0_FROZEN_SOURCE_HEAD,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,ER_BALANCED,25,0,0.02731374772800374,-0.02428135347173575,0.07989581114578338,10000,True,True,0.0294738473;0.0198433440;0.0290868820;0.0354739683;0.0226906970,0.0299218454;0.0246741478;0.0307137133;0.0224851241;0.0287739081,False
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION|3|ER_BALANCED_MINUS_FS0|accuracy,ADAPTED_VERSUS_MATCHED_FS0,block_accuracy,FS0_FROZEN_SOURCE_HEAD,0,FS0_FROZEN_SOURCE_HEAD,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,ER_BALANCED,25,0,-0.018412698412698412,-0.0711111111111111,0.03809523809523809,10000,False,False,-0.0150793651;-0.0333333333;-0.0206349206;-0.0047619048;-0.0182539683,-0.0158730159;-0.0206349206;-0.0150793651;-0.0238095238;-0.0166666667,False
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION|3|SURFACE_BALANCED_MINUS_FS0|macro_f1,ADAPTED_VERSUS_MATCHED_FS0,block_macro_f1,FS0_FROZEN_SOURCE_HEAD,0,FS0_FROZEN_SOURCE_HEAD,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,SURFACE_BALANCED,25,0,0.026806282378978592,-0.016518563227081208,0.07203071206450362,10000,True,True,0.0255625768;0.0178761155;0.0284196153;0.0379075258;0.0242655785,0.0231241198;0.0272962140;0.0315236409;0.0274417177;0.0246457195,False
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION|3|SURFACE_BALANCED_MINUS_FS0|accuracy,ADAPTED_VERSUS_MATCHED_FS0,block_accuracy,FS0_FROZEN_SOURCE_HEAD,0,FS0_FROZEN_SOURCE_HEAD,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,SURFACE_BALANCED,25,0,-0.013968253968253968,-0.06095238095238095,0.03619047619047619,10000,False,False,-0.0134920635;-0.0285714286;-0.0158730159;0.0015873016;-0.0134920635,-0.0174603175;-0.0142857143;-0.0103174603;-0.0126984127;-0.0150793651,False
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION|3|JOINT_FACTOR_COVERAGE_MINUS_FS0|macro_f1,ADAPTED_VERSUS_MATCHED_FS0,block_macro_f1,FS0_FROZEN_SOURCE_HEAD,0,FS0_FROZEN_SOURCE_HEAD,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,JOINT_FACTOR_COVERAGE,25,0,0.0213636524613526,-0.030949941628612445,0.07411963932865578,10000,True,True,0.0220764966;0.0179494234;0.0172601019;0.0313806286;0.0181516119,0.0216921706;0.0216852371;0.0216085068;0.0196925337;0.0221398142,False
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION|3|JOINT_FACTOR_COVERAGE_MINUS_FS0|accuracy,ADAPTED_VERSUS_MATCHED_FS0,block_accuracy,FS0_FROZEN_SOURCE_HEAD,0,FS0_FROZEN_SOURCE_HEAD,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,JOINT_FACTOR_COVERAGE,25,0,-0.025396825396825397,-0.07809523809523809,0.029841269841269842,10000,False,False,-0.0230158730;-0.0357142857;-0.0341269841;-0.0095238095;-0.0246031746,-0.0246031746;-0.0253968254;-0.0253968254;-0.0277777778;-0.0238095238,False
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION|5|JOINT_FACTOR_COVERAGE_MINUS_RANDOM|macro_f1,MATCHED_BUDGET_FACTOR_STRATEGY,block_macro_f1,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,5,RANDOM_BLOCK,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,5,JOINT_FACTOR_COVERAGE,25,25,-0.00012405327424461375,-0.026384599206662713,0.02525011334233961,10000,False,False,0.0009598871;0.0042512197;-0.0032741636;0.0000176314;-0.0025748410,-0.0037262386;-0.0021141472;0.0070509973;-0.0040286842;0.0021978063,True
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION|5|JOINT_FACTOR_COVERAGE_MINUS_RANDOM|accuracy,MATCHED_BUDGET_FACTOR_STRATEGY,block_accuracy,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,5,RANDOM_BLOCK,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,5,JOINT_FACTOR_COVERAGE,25,25,0.0025396825396825397,-0.024126984126984125,0.029206349206349205,10000,False,False,0.0031746032;0.0079365079;-0.0007936508;0.0031746032;-0.0007936508,-0.0031746032;0.0000000000;0.0095238095;0.0015873016;0.0047619048,True
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION|5|RANDOM_BLOCK_MINUS_FS0|macro_f1,ADAPTED_VERSUS_MATCHED_FS0,block_macro_f1,FS0_FROZEN_SOURCE_HEAD,0,FS0_FROZEN_SOURCE_HEAD,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,5,RANDOM_BLOCK,25,25,0.025192548654381634,-0.036845188791951054,0.08306186011592388,10000,True,True,0.0300772854;0.0204986345;0.0160907748;0.0304359803;0.0288600682,0.0266694343;0.0335039675;0.0190058146;0.0286154673;0.0181680595,True
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION|5|RANDOM_BLOCK_MINUS_FS0|accuracy,ADAPTED_VERSUS_MATCHED_FS0,block_accuracy,FS0_FROZEN_SOURCE_HEAD,0,FS0_FROZEN_SOURCE_HEAD,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,5,RANDOM_BLOCK,25,25,-0.013968253968253968,-0.07682539682539682,0.04634920634920634,10000,False,False,-0.0071428571;-0.0253968254;-0.0277777778;-0.0039682540;-0.0055555556,-0.0111111111;-0.0055555556;-0.0198412698;-0.0119047619;-0.0214285714,True
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION|5|JOINT_FACTOR_COVERAGE_MINUS_FS0|macro_f1,ADAPTED_VERSUS_MATCHED_FS0,block_macro_f1,FS0_FROZEN_SOURCE_HEAD,0,FS0_FROZEN_SOURCE_HEAD,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,5,JOINT_FACTOR_COVERAGE,25,25,0.02506849538013702,-0.03808449763215686,0.08296597315681453,10000,True,True,0.0310371725;0.0247498542;0.0128166112;0.0304536118;0.0262852272,0.0229431956;0.0313898204;0.0260568119;0.0245867831;0.0203658659,True
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION|5|JOINT_FACTOR_COVERAGE_MINUS_FS0|accuracy,ADAPTED_VERSUS_MATCHED_FS0,block_accuracy,FS0_FROZEN_SOURCE_HEAD,0,FS0_FROZEN_SOURCE_HEAD,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,5,JOINT_FACTOR_COVERAGE,25,25,-0.011428571428571429,-0.07555555555555556,0.05015873015873015,10000,False,False,-0.0039682540;-0.0174603175;-0.0285714286;-0.0007936508;-0.0063492063,-0.0142857143;-0.0055555556;-0.0103174603;-0.0103174603;-0.0166666667,True
