method,budget,strategy,source_seed,support_seed,oof_blocks,oof_rows,block_accuracy,block_macro_f1,row_accuracy,row_macro_f1,mean_within_block_agreement,inference_unit,interpretation_valid,block_confusion_matrix,row_confusion_matrix,support_seed_variance,source_checkpoint_variance
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,1,RANDOM_BLOCK,46,104729,63,3150,0.15873015873015872,0.15865757430974822,0.15873015873015872,0.15774974242431927,0.9615873015873014,condition_block,True,"[[0,1,1,3,1,1,2],[0,1,4,2,0,1,1],[2,0,2,1,0,1,3],[1,1,2,2,0,0,3],[0,0,2,3,2,0,2],[1,0,1,4,1,1,1],[2,1,1,1,0,2,2]]","[[0,50,54,150,50,50,96],[1,49,175,91,3,57,74],[100,1,100,50,1,50,148],[50,53,65,103,18,0,161],[1,0,100,151,98,1,99],[56,0,50,200,44,50,50],[100,50,51,56,0,93,100]]",0.0007972236094957889,0.0009100063281101021
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,1,RANDOM_BLOCK,46,130363,63,3150,0.1746031746031746,0.1683833209397119,0.17238095238095238,0.1654741356741689,0.9790476190476189,condition_block,True,"[[0,0,4,1,0,3,1],[0,2,2,2,1,1,1],[1,1,1,2,1,2,1],[1,0,3,1,0,2,2],[0,2,0,2,1,3,1],[0,0,0,4,1,3,1],[0,0,1,3,0,2,3]]","[[3,7,196,47,0,147,50],[0,90,105,102,49,54,50],[47,50,50,99,51,107,46],[50,4,155,51,0,97,93],[4,96,0,100,46,154,50],[0,0,0,200,46,154,50],[0,0,51,150,0,100,149]]",0.0007972236094957889,0.0009100063281101021
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,1,RANDOM_BLOCK,46,155921,63,3150,0.19047619047619047,0.18595271025150067,0.18285714285714286,0.17605163161154153,0.957142857142857,condition_block,False,"[[1,1,1,0,3,1,2],[0,1,6,1,0,0,1],[2,0,2,0,0,1,4],[1,0,3,1,1,0,3],[0,0,2,1,4,1,1],[1,2,1,1,2,1,1],[2,3,1,0,0,1,2]]","[[26,71,63,0,150,50,90],[1,49,280,51,7,0,62],[103,1,100,0,10,50,186],[50,3,115,50,75,0,157],[1,0,100,50,198,51,50],[56,99,50,50,92,53,50],[100,143,50,0,0,57,100]]",0.0007972236094957889,0.0009100063281101021
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,1,RANDOM_BLOCK,46,181081,63,3150,0.19047619047619047,0.18163433058169898,0.18285714285714286,0.1732572222278506,0.9730158730158731,condition_block,True,"[[1,0,0,3,1,3,1],[1,1,0,2,1,4,0],[1,1,2,3,0,2,0],[2,0,1,4,0,1,1],[1,0,1,3,0,2,2],[2,0,0,3,1,2,1],[2,0,0,3,0,2,2]]","[[50,0,13,144,40,153,50],[52,54,6,100,49,188,1],[68,50,81,148,0,100,3],[97,3,52,189,9,50,50],[50,0,50,150,0,104,96],[99,1,0,151,46,103,50],[97,1,1,150,0,102,99]]",0.0007972236094957889,0.0009100063281101021
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,1,RANDOM_BLOCK,46,205439,63,3150,0.15873015873015872,0.1564543345942496,0.15936507936507938,0.15707266142507043,0.9653968253968253,condition_block,True,"[[1,1,0,3,0,2,2],[1,2,0,1,1,3,1],[2,1,1,1,0,3,1],[3,1,0,3,0,1,1],[1,0,0,2,0,3,3],[2,0,0,3,1,2,1],[5,0,0,1,0,2,1]]","[[50,44,9,144,0,103,100],[52,103,6,50,49,164,26],[100,50,50,47,0,150,53],[142,46,3,147,12,50,50],[50,0,4,100,0,154,142],[109,0,0,142,46,103,50],[247,1,1,50,0,102,49]]",0.0007972236094957889,0.0009100063281101021
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,ER_BALANCED,42,104729,63,3150,0.14285714285714285,0.14695351824940503,0.1457142857142857,0.14752425612151146,0.9625396825396825,condition_block,False,"[[1,0,2,0,1,3,2],[0,2,2,2,1,1,1],[2,0,2,1,0,3,1],[2,2,1,0,1,1,2],[1,0,2,2,2,1,1],[2,2,0,2,2,1,0],[2,1,1,2,0,2,1]]","[[46,7,101,0,56,143,97],[1,97,103,100,50,50,49],[92,7,106,49,13,151,32],[96,111,50,12,50,38,93],[48,21,104,88,92,47,50],[99,100,3,96,95,56,1],[99,53,49,100,0,99,50]]",0.0005970944335326672,0.0006574374117234588
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,ER_BALANCED,42,130363,63,3150,0.15873015873015872,0.1572762438308657,0.16253968253968254,0.16149147581771395,0.9657142857142856,condition_block,False,"[[1,0,2,0,1,2,3],[0,2,2,1,1,2,1],[2,0,2,0,0,3,2],[1,2,1,0,1,1,3],[0,2,1,2,2,1,1],[2,2,0,1,3,1,0],[2,0,1,3,0,1,2]]","[[49,14,100,0,40,100,147],[1,97,103,50,50,100,49],[98,4,100,1,16,150,81],[50,114,47,12,50,38,139],[5,93,54,103,98,47,50],[108,100,0,51,134,57,0],[99,0,52,150,0,50,99]]",0.0005970944335326672,0.0006574374117234588
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,ER_BALANCED,42,155921,63,3150,0.12698412698412698,0.12781476226854377,0.13015873015873017,0.13058551670641813,0.9707936507936508,condition_block,False,"[[1,1,2,0,1,1,3],[1,2,1,2,1,1,1],[2,0,1,2,0,2,2],[2,1,0,0,2,1,3],[2,1,2,1,1,1,1],[2,2,0,1,2,1,1],[2,0,1,3,0,1,2]]","[[49,64,100,0,40,50,147],[51,100,50,100,50,50,49],[93,4,50,99,22,100,82],[97,67,0,12,97,38,139],[104,47,100,53,46,50,50],[106,100,0,47,96,54,47],[99,1,50,150,0,51,99]]",0.0005970944335326672,0.0006574374117234588
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,ER_BALANCED,42,181081,63,3150,0.14285714285714285,0.13594843734595288,0.14317460317460318,0.13629517384304848,0.9765079365079363,condition_block,False,"[[1,1,2,0,1,2,2],[1,3,1,2,0,0,2],[3,0,1,1,0,3,1],[2,2,0,0,1,1,3],[2,2,2,0,1,1,1],[3,2,0,1,2,1,0],[2,2,1,1,0,1,2]]","[[46,67,100,0,40,100,97],[51,150,50,100,1,0,98],[131,4,50,49,16,150,50],[97,109,0,3,49,50,142],[104,97,100,3,49,47,50],[153,99,0,48,96,54,0],[100,99,51,50,0,51,99]]",0.0005970944335326672,0.0006574374117234588
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,ER_BALANCED,42,205439,63,3150,0.14285714285714285,0.14599126363832246,0.146984126984127,0.14845598322406256,0.973015873015873,condition_block,False,"[[1,0,1,0,2,3,2],[0,2,2,2,1,1,1],[2,0,2,2,0,2,1],[1,3,2,0,0,1,2],[2,1,1,2,1,1,1],[1,2,0,4,0,2,0],[2,1,0,2,0,3,1]]","[[46,5,53,3,96,150,97],[1,97,100,100,50,53,49],[93,4,106,100,15,100,32],[50,160,96,12,1,38,93],[100,49,54,100,46,51,50],[50,100,0,193,1,106,0],[99,52,0,100,0,149,50]]",0.0005970944335326672,0.0006574374117234588
