analysis_class,method,budget,source_seed,support_seed,outer_fold,support_coverage_score,unique_er_levels,unique_surfaces,block_accuracy,block_macro_f1
ASSOCIATIONAL_EXPLORATORY,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,1,42,130363,2,0.16666666666666666,1,1,0.2857142857142857,0.20907029478458047
ASSOCIATIONAL_EXPLORATORY,TARGET_ONLY_COSINE_PROTOTYPE,3,42,130363,2,0.75,2,3,0.0,0.0
ASSOCIATIONAL_EXPLORATORY,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,42,130363,2,0.75,2,3,0.23809523809523808,0.2510204081632653
ASSOCIATIONAL_EXPLORATORY,TARGET_ONLY_COSINE_PROTOTYPE,5,42,130363,2,0.8,3,3,0.0,0.0
ASSOCIATIONAL_EXPLORATORY,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,5,42,130363,2,0.8,3,3,0.14285714285714285,0.15238095238095237
ASSOCIATIONAL_EXPLORATORY,TARGET_ONLY_COSINE_PROTOTYPE,1,42,155921,2,0.16666666666666666,1,1,0.14285714285714285,0.09999999999999999
ASSOCIATIONAL_EXPLORATORY,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,1,42,155921,2,0.16666666666666666,1,1,0.14285714285714285,0.11883116883116883
ASSOCIATIONAL_EXPLORATORY,TARGET_ONLY_COSINE_PROTOTYPE,3,42,155921,2,0.6666666666666666,3,2,0.19047619047619047,0.2214285714285714
ASSOCIATIONAL_EXPLORATORY,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,42,155921,2,0.6666666666666666,3,2,0.2857142857142857,0.29795918367346935
ASSOCIATIONAL_EXPLORATORY,TARGET_ONLY_COSINE_PROTOTYPE,5,42,155921,2,0.75,3,3,0.14285714285714285,0.08333333333333333
ASSOCIATIONAL_EXPLORATORY,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,5,42,155921,2,0.75,3,3,0.19047619047619047,0.195578231292517
ASSOCIATIONAL_EXPLORATORY,TARGET_ONLY_COSINE_PROTOTYPE,1,42,181081,2,0.16666666666666666,1,1,0.23809523809523808,0.17777777777777778
ASSOCIATIONAL_EXPLORATORY,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,1,42,181081,2,0.16666666666666666,1,1,0.047619047619047616,0.023809523809523808
ASSOCIATIONAL_EXPLORATORY,TARGET_ONLY_COSINE_PROTOTYPE,3,42,181081,2,0.75,3,2,0.19047619047619047,0.1761904761904762
ASSOCIATIONAL_EXPLORATORY,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,42,181081,2,0.75,3,2,0.14285714285714285,0.1336734693877551
ASSOCIATIONAL_EXPLORATORY,TARGET_ONLY_COSINE_PROTOTYPE,5,42,181081,2,0.775,3,3,0.047619047619047616,0.023809523809523808
ASSOCIATIONAL_EXPLORATORY,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,5,42,181081,2,0.775,3,3,0.047619047619047616,0.047619047619047616
ASSOCIATIONAL_EXPLORATORY,TARGET_ONLY_COSINE_PROTOTYPE,1,42,205439,2,0.16666666666666666,1,1,0.23809523809523808,0.17777777777777778
ASSOCIATIONAL_EXPLORATORY,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,1,42,205439,2,0.16666666666666666,1,1,0.047619047619047616,0.023809523809523808
ASSOCIATIONAL_EXPLORATORY,TARGET_ONLY_COSINE_PROTOTYPE,3,42,205439,2,0.5,2,2,0.09523809523809523,0.05215419501133787
ASSOCIATIONAL_EXPLORATORY,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,42,205439,2,0.5,2,2,0.09523809523809523,0.09795918367346938
ASSOCIATIONAL_EXPLORATORY,TARGET_ONLY_COSINE_PROTOTYPE,5,42,205439,2,0.775,3,3,0.09523809523809523,0.05952380952380952
ASSOCIATIONAL_EXPLORATORY,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,5,42,205439,2,0.775,3,3,0.047619047619047616,0.031746031746031744
ASSOCIATIONAL_EXPLORATORY,TARGET_ONLY_COSINE_PROTOTYPE,1,43,104729,0,0.16666666666666666,1,1,0.14285714285714285,0.09999999999999999
ASSOCIATIONAL_EXPLORATORY,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,1,43,104729,0,0.16666666666666666,1,1,0.19047619047619047,0.15816326530612246
ASSOCIATIONAL_EXPLORATORY,TARGET_ONLY_COSINE_PROTOTYPE,3,43,104729,0,0.6666666666666666,3,2,0.2857142857142857,0.24943310657596368
ASSOCIATIONAL_EXPLORATORY,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,43,104729,0,0.6666666666666666,3,2,0.14285714285714285,0.1201814058956916
ASSOCIATIONAL_EXPLORATORY,TARGET_ONLY_COSINE_PROTOTYPE,5,43,104729,0,0.775,3,3,0.047619047619047616,0.028571428571428574
ASSOCIATIONAL_EXPLORATORY,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,5,43,104729,0,0.775,3,3,0.19047619047619047,0.18095238095238095
ASSOCIATIONAL_EXPLORATORY,TARGET_ONLY_COSINE_PROTOTYPE,1,43,130363,0,0.16666666666666666,1,1,0.23809523809523808,0.19909297052154193
ASSOCIATIONAL_EXPLORATORY,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,1,43,130363,0,0.16666666666666666,1,1,0.19047619047619047,0.15589569160997732
ASSOCIATIONAL_EXPLORATORY,TARGET_ONLY_COSINE_PROTOTYPE,3,43,130363,0,0.5,2,2,0.0,0.0
ASSOCIATIONAL_EXPLORATORY,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,43,130363,0,0.5,2,2,0.23809523809523808,0.21746031746031744
ASSOCIATIONAL_EXPLORATORY,TARGET_ONLY_COSINE_PROTOTYPE,5,43,130363,0,0.775,3,3,0.0,0.0
ASSOCIATIONAL_EXPLORATORY,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,5,43,130363,0,0.775,3,3,0.19047619047619047,0.16623376623376623
ASSOCIATIONAL_EXPLORATORY,TARGET_ONLY_COSINE_PROTOTYPE,1,43,155921,0,0.16666666666666666,1,1,0.14285714285714285,0.09999999999999999
ASSOCIATIONAL_EXPLORATORY,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,1,43,155921,0,0.16666666666666666,1,1,0.19047619047619047,0.15816326530612246
ASSOCIATIONAL_EXPLORATORY,TARGET_ONLY_COSINE_PROTOTYPE,3,43,155921,0,0.75,3,2,0.047619047619047616,0.05714285714285715
ASSOCIATIONAL_EXPLORATORY,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,43,155921,0,0.75,3,2,0.23809523809523808,0.22857142857142856
ASSOCIATIONAL_EXPLORATORY,TARGET_ONLY_COSINE_PROTOTYPE,5,43,155921,0,0.75,3,3,0.09523809523809523,0.09795918367346938
ASSOCIATIONAL_EXPLORATORY,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,5,43,155921,0,0.75,3,3,0.19047619047619047,0.1865079365079365
ASSOCIATIONAL_EXPLORATORY,TARGET_ONLY_COSINE_PROTOTYPE,1,43,181081,0,0.16666666666666666,1,1,0.047619047619047616,0.025974025974025976
