support_selection_id,fold,support_seed,strategy,budget,selected_factor_cells,query_factor_cells,unique_er_levels,unique_surfaces,unique_factor_cells,er_count_imbalance,surface_count_imbalance,pairwise_factor_grid_dispersion,mean_pairwise_factor_grid_distance,minimum_query_to_support_factor_distance,mean_query_to_support_factor_distance,every_query_er_represented,every_query_surface_represented,support_coverage_score
run_41acb6b37cc9d907ffbf,0,181081,JOINT_FACTOR_COVERAGE,5,E0xS1;E0xS2;E1xS0;E1xS2;E2xS0,E0xS0;E1xS1;E2xS2,3,3,5,1,1,22,2.2,1,1.0,True,True,0.775
run_8256131a0b2ede7237ed,0,205439,RANDOM_BLOCK,1,E1xS0,E0xS0;E1xS1;E2xS2,1,1,1,1,1,0,0.0,1,1.6666666666666667,False,False,0.16666666666666666
run_4a12b687db7a3ed5c399,0,205439,RANDOM_BLOCK,3,E0xS1;E0xS2;E2xS1,E0xS0;E1xS1;E2xS2,2,2,3,2,2,6,2.0,1,1.0,False,False,0.5833333333333333
run_6bc7fbcaf008464e50d8,0,205439,ER_BALANCED,3,E0xS1;E1xS2;E2xS0,E0xS0;E1xS1;E2xS2,3,3,3,0,0,8,2.6666666666666665,1,1.0,True,True,0.8333333333333333
run_07636765f20cb3081f9d,0,205439,SURFACE_BALANCED,3,E1xS2;E2xS0;E2xS1,E0xS0;E1xS1;E2xS2,2,3,3,2,0,6,2.0,1,1.3333333333333333,False,True,0.6666666666666666
run_24768e716e8f9b0d3f5d,0,205439,JOINT_FACTOR_COVERAGE,3,E0xS1;E1xS2;E2xS0,E0xS0;E1xS1;E2xS2,3,3,3,0,0,8,2.6666666666666665,1,1.0,True,True,0.8333333333333333
run_d130bc560cbdaeaca13d,0,205439,RANDOM_BLOCK,5,E0xS1;E0xS2;E1xS2;E2xS0;E2xS1,E0xS0;E1xS1;E2xS2,3,3,5,1,1,22,2.2,1,1.0,True,True,0.775
run_3f9c5985d29837dac834,0,205439,JOINT_FACTOR_COVERAGE,5,E0xS1;E0xS2;E1xS2;E2xS0;E2xS1,E0xS0;E1xS1;E2xS2,3,3,5,1,1,22,2.2,1,1.0,True,True,0.775
run_c381c844851261480819,1,104729,RANDOM_BLOCK,1,E0xS0,E0xS1;E1xS2;E2xS0,1,1,1,1,1,0,0.0,1,2.0,False,False,0.16666666666666666
run_334ae24e016d01e6e57e,1,104729,RANDOM_BLOCK,3,E0xS0;E1xS0;E2xS1,E0xS1;E1xS2;E2xS0,3,2,3,0,2,6,2.0,1,1.3333333333333333,True,False,0.6666666666666666
run_ff8735b26ce8695e06ce,1,104729,ER_BALANCED,3,E0xS2;E1xS0;E2xS2,E0xS1;E1xS2;E2xS0,3,2,3,0,2,8,2.6666666666666665,1,1.0,True,False,0.75
run_1c8c4748273b6d4e1512,1,104729,SURFACE_BALANCED,3,E0xS0;E1xS1;E2xS2,E0xS1;E1xS2;E2xS0,3,3,3,0,0,8,2.6666666666666665,1,1.3333333333333333,True,True,0.8333333333333333
run_4a2264f86b02883d375a,1,104729,JOINT_FACTOR_COVERAGE,3,E0xS2;E1xS0;E2xS1,E0xS1;E1xS2;E2xS0,3,3,3,0,0,8,2.6666666666666665,1,1.0,True,True,0.8333333333333333
run_2089f29fa9ec75048b2c,1,104729,RANDOM_BLOCK,5,E0xS2;E1xS0;E1xS1;E2xS1;E2xS2,E0xS1;E1xS2;E2xS0,3,3,5,1,1,20,2.0,1,1.0,True,True,0.75
run_ab4b31b7bac432dd7795,1,104729,JOINT_FACTOR_COVERAGE,5,E0xS0;E0xS2;E1xS0;E2xS1;E2xS2,E0xS1;E1xS2;E2xS0,3,3,5,1,1,24,2.4,1,1.0,True,True,0.8
run_3edd416d8abd40b5f8b0,1,130363,RANDOM_BLOCK,1,E1xS1,E0xS1;E1xS2;E2xS0,1,1,1,1,1,0,0.0,1,1.3333333333333333,False,False,0.16666666666666666
run_d04e721071fc27bc0f13,1,130363,RANDOM_BLOCK,3,E0xS2;E1xS0;E2xS2,E0xS1;E1xS2;E2xS0,3,2,3,0,2,8,2.6666666666666665,1,1.0,True,False,0.75
run_4788d9bbba95b4533917,1,130363,ER_BALANCED,3,E0xS2;E1xS1;E2xS1,E0xS1;E1xS2;E2xS0,3,2,3,0,2,6,2.0,1,1.0,True,False,0.6666666666666666
run_48f4cdef893e5c04f013,1,130363,SURFACE_BALANCED,3,E0xS0;E0xS2;E2xS1,E0xS1;E1xS2;E2xS0,2,3,3,2,0,8,2.6666666666666665,1,1.0,False,True,0.75
run_1a6ca317a9c0df6d27d6,1,130363,JOINT_FACTOR_COVERAGE,3,E0xS0;E1xS1;E2xS2,E0xS1;E1xS2;E2xS0,3,3,3,0,0,8,2.6666666666666665,1,1.3333333333333333,True,True,0.8333333333333333
run_5e75d8ef6fc0dbd7ca75,1,130363,RANDOM_BLOCK,5,E0xS0;E0xS2;E1xS0;E1xS1;E2xS1,E0xS1;E1xS2;E2xS0,3,3,5,1,1,20,2.0,1,1.0,True,True,0.75
run_dec3973a6a4be54a022b,1,130363,JOINT_FACTOR_COVERAGE,5,E0xS0;E0xS2;E1xS0;E2xS1;E2xS2,E0xS1;E1xS2;E2xS0,3,3,5,1,1,24,2.4,1,1.0,True,True,0.8
run_d19336ab6b6e1a42cb66,1,155921,RANDOM_BLOCK,1,E0xS0,E0xS1;E1xS2;E2xS0,1,1,1,1,1,0,0.0,1,2.0,False,False,0.16666666666666666
run_ff6b803b4f073510f5f0,1,155921,RANDOM_BLOCK,3,E0xS0;E1xS1;E2xS1,E0xS1;E1xS2;E2xS0,3,2,3,0,2,6,2.0,1,1.0,True,False,0.6666666666666666
run_02f13b3c8a08eec446c9,1,155921,ER_BALANCED,3,E0xS0;E1xS1;E2xS1,E0xS1;E1xS2;E2xS0,3,2,3,0,2,6,2.0,1,1.0,True,False,0.6666666666666666
run_0f4470432dc6046be046,1,155921,SURFACE_BALANCED,3,E0xS0;E1xS1;E2xS2,E0xS1;E1xS2;E2xS0,3,3,3,0,0,8,2.6666666666666665,1,1.3333333333333333,True,True,0.8333333333333333
run_3069a594ffe90fafe059,1,155921,JOINT_FACTOR_COVERAGE,3,E0xS0;E1xS1;E2xS2,E0xS1;E1xS2;E2xS0,3,3,3,0,0,8,2.6666666666666665,1,1.3333333333333333,True,True,0.8333333333333333
run_ea4d4adffec2a6c18db8,1,155921,RANDOM_BLOCK,5,E0xS0;E0xS2;E1xS1;E2xS1;E2xS2,E0xS1;E1xS2;E2xS0,3,3,5,1,1,22,2.2,1,1.0,True,True,0.775
run_845b5665b4eadc5dc4fa,1,155921,JOINT_FACTOR_COVERAGE,5,E0xS0;E0xS2;E1xS0;E2xS1;E2xS2,E0xS1;E1xS2;E2xS0,3,3,5,1,1,24,2.4,1,1.0,True,True,0.8
run_43a61e3535b3a8b972e2,1,181081,RANDOM_BLOCK,1,E2xS2,E0xS1;E1xS2;E2xS0,1,1,1,1,1,0,0.0,1,2.0,False,False,0.16666666666666666
run_747b358b3745d13ea91b,1,181081,RANDOM_BLOCK,3,E1xS1;E2xS1;E2xS2,E0xS1;E1xS2;E2xS0,2,2,3,2,2,4,1.3333333333333333,1,1.0,False,False,0.5
run_56d94d625c9430d07017,1,181081,ER_BALANCED,3,E0xS0;E1xS0;E2xS1,E0xS1;E1xS2;E2xS0,3,2,3,0,2,6,2.0,1,1.3333333333333333,True,False,0.6666666666666666
run_19726ce8fd36f6b7c58d,1,181081,SURFACE_BALANCED,3,E0xS0;E0xS2;E2xS1,E0xS1;E1xS2;E2xS0,2,3,3,2,0,8,2.6666666666666665,1,1.0,False,True,0.75
run_4216acbf3a755509f269,1,181081,JOINT_FACTOR_COVERAGE,3,E0xS0;E1xS1;E2xS2,E0xS1;E1xS2;E2xS0,3,3,3,0,0,8,2.6666666666666665,1,1.3333333333333333,True,True,0.8333333333333333
