run_id,method,budget,strategy,source_seed,support_seed,outer_fold,labelled_support_rows,query_rows,query_condition_blocks,block_accuracy,block_macro_f1,row_accuracy,row_macro_f1,mean_within_block_agreement,minimum_within_block_agreement,support_coverage_score,unique_er_levels,unique_surfaces,unique_factor_cells,interpretation_valid,prediction_sha256
run_1a382e7f06e3e3e056a4,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,ER_BALANCED,46,104729,0,21,1050,21,0.14285714285714285,0.10510204081632654,0.16476190476190475,0.12265764817349194,0.959047619047619,0.5,0.8333333333333333,3,3,3,False,7c1895c72e46d6f288a33eb7bc555e7c7b8a451610d4dc4372155cd127cdb6a2
run_97766ec891d87221dfe8,TARGET_ONLY_COSINE_PROTOTYPE,3,SURFACE_BALANCED,46,104729,0,21,1050,21,0.19047619047619047,0.1626984126984127,0.1895238095238095,0.15851454807205417,0.959047619047619,0.52,0.6666666666666666,2,3,3,True,51149d1036dcfe8fd46dfa2673561b508913d960f10c045a34d6ef4f41575717
run_90b4bc14073507187a52,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,SURFACE_BALANCED,46,104729,0,21,1050,21,0.14285714285714285,0.10930735930735931,0.1380952380952381,0.10592654593962211,0.981904761904762,0.86,0.6666666666666666,2,3,3,False,87a4d288fc916815cb1a7785cb31abbb77ae029f0fa43bf7f5dc482c519cf030
run_d0d28220c598a5750a9b,TARGET_ONLY_COSINE_PROTOTYPE,3,JOINT_FACTOR_COVERAGE,46,104729,0,21,1050,21,0.19047619047619047,0.15238095238095237,0.19523809523809524,0.15770045831362567,0.9742857142857143,0.86,0.8333333333333333,3,3,3,True,aa869eec87c47af4a98aaf85d6b5bf7a17bb0be425b7529e5145a39893d2e046
run_24d91fce647a0c369b1b,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,JOINT_FACTOR_COVERAGE,46,104729,0,21,1050,21,0.14285714285714285,0.10510204081632654,0.16476190476190475,0.12265764817349194,0.959047619047619,0.5,0.8333333333333333,3,3,3,False,7c1895c72e46d6f288a33eb7bc555e7c7b8a451610d4dc4372155cd127cdb6a2
run_7f279fbc0b80533868ad,TARGET_ONLY_COSINE_PROTOTYPE,5,RANDOM_BLOCK,46,104729,0,35,1050,21,0.047619047619047616,0.03571428571428571,0.06952380952380953,0.051577491756196144,0.9466666666666668,0.52,0.775,3,3,5,True,7a14c2329ed671b9f03c3eb62222d361ef0b146aa71e3ef23f688d8fbf7c0484
run_5b2bd0174241c9f7cea1,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,5,RANDOM_BLOCK,46,104729,0,35,1050,21,0.047619047619047616,0.047619047619047616,0.04666666666666667,0.04682274247491639,0.9714285714285715,0.86,0.775,3,3,5,True,338676a85ada28a054211e86a761f2a76196bd546530478ef9b0caf74e9b9bac
run_174899b9bae94455572f,TARGET_ONLY_COSINE_PROTOTYPE,5,JOINT_FACTOR_COVERAGE,46,104729,0,35,1050,21,0.14285714285714285,0.06593406593406594,0.1419047619047619,0.06509392747924858,0.9895238095238096,0.92,0.775,3,3,5,True,55d7235bfcacdb86aef768ec1591369ee17c1af6a9edafa051eb1f4858b73aad
run_3a1004ef0ccc9a1b1d24,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,5,JOINT_FACTOR_COVERAGE,46,104729,0,35,1050,21,0.14285714285714285,0.09795918367346938,0.11904761904761904,0.07604025699307591,0.9638095238095239,0.5,0.775,3,3,5,True,56e58bce7a56bcba0354204edd8c6d4771dc2602bdd6e999c62e115cff3820e8
run_d5979617b0a77190f0f3,TARGET_ONLY_COSINE_PROTOTYPE,1,RANDOM_BLOCK,46,130363,0,7,1050,21,0.14285714285714285,0.12698412698412698,0.14476190476190476,0.12760447438486794,0.9638095238095239,0.52,0.16666666666666666,1,1,1,True,c6a1db8dc3bb03284dcc06422455c3b3814e2cdfa384f3dc38faad4f12d93365
