budget,class_index,TagID,prototype_f1_mean,linear_f1_mean,linear_minus_prototype_f1,prototype_recall_mean,linear_recall_mean,prototype_precision_mean,linear_precision_mean,unit_count
10,1,2,0.11173698728084736,0.1506569879684172,0.038920000687569845,0.11588888888888887,0.1564444444444444,0.11728038859793491,0.1932762527394789,100
10,2,3,0.15968201668497806,0.1801162315529276,0.02043421486794955,0.17668888888888887,0.2126666666666667,0.16969536794850304,0.1766042889005509,100
10,3,4,0.12806086142052403,0.08271611288823497,-0.045344748532289064,0.14257777777777775,0.1057333333333333,0.13788255505759467,0.07580185416876067,100
10,4,5,0.09709913382538096,0.1432619215339583,0.046162787708577346,0.09668888888888887,0.13335555555555556,0.1052096703693856,0.1996544384374692,100
10,5,6,0.19261828099259076,0.07992670059561233,-0.11269158039697844,0.22013333333333332,0.08975555555555555,0.19854416977461245,0.08237235208186851,100
10,6,7,0.13083349258531185,0.17763711118103512,0.04680361859572327,0.145,0.19457777777777774,0.13794939703324258,0.18722021115900112,100
20,0,1,0.0814984877098568,0.0812257127984824,-0.0002727749113744099,0.0762222222222222,0.086,0.09842884115903516,0.07915718363895224,100
20,1,2,0.11697043025002818,0.16101453096171686,0.04404410071168868,0.1165111111111111,0.15877777777777777,0.12527530455145236,0.18424303725066637,100
20,2,3,0.1369389507884845,0.1762458316569305,0.039306880868446,0.14817777777777777,0.19755555555555554,0.14283166607604117,0.1665778847876261,100
20,3,4,0.14781356309750165,0.06647956289109488,-0.08133400020640677,0.16342222222222222,0.0754888888888889,0.14977160018524638,0.06291483342688706,100
20,4,5,0.08766966421685175,0.15363327283006872,0.06596360861321697,0.0846222222222222,0.12775555555555554,0.09812664118657163,0.20826512343826165,100
20,5,6,0.22020570843431503,0.09830259335990922,-0.12190311507440581,0.2544444444444444,0.09944444444444445,0.20251534369009658,0.10184778355314107,100
20,6,7,0.15782344673076718,0.21771081501994427,0.059887368289177095,0.1686,0.2360888888888889,0.16043851621007957,0.20721893715221473,100
21,0,1,0.07346304003111406,0.0764053099043913,0.0029422698732772395,0.07017777777777777,0.08199999999999999,0.0881792839022514,0.07308105040913859,100
21,1,2,0.11513247990693923,0.15900516922307664,0.043872689316137414,0.11302222222222222,0.1535111111111111,0.1228917329110716,0.1833271668713185,100
21,2,3,0.14365123733454171,0.17423077651467975,0.030579539180138032,0.15286666666666665,0.19173333333333337,0.1513296592644553,0.1645668058809143,100
21,3,4,0.14051595705442996,0.06738766722422102,-0.07312828983020894,0.1580222222222222,0.0738,0.13563370518420867,0.06423794689178541,100
21,4,5,0.08171811248895305,0.14498160379343467,0.06326349130448161,0.07688888888888888,0.11908888888888888,0.09559123540309378,0.203113796842879,100
21,5,6,0.23296099255738897,0.11367123477738456,-0.11928975778000442,0.27477777777777773,0.11275555555555555,0.2114836188595734,0.11985819593218394,100
21,6,7,0.14832369756889682,0.22624459143105963,0.0779208938621628,0.1568222222222222,0.24653333333333335,0.15023273560413958,0.21218123832667196,100
35,0,1,0.029096437126155034,0.07322517439796636,0.044128737271811325,0.029266666666666667,0.07788888888888888,0.03232551543186272,0.0699198066194764,100
35,1,2,0.1003893899613506,0.17315640861447337,0.07276701865312277,0.0978,0.16248888888888888,0.10911744226846629,0.20153396009250726,100
