budget,method,true_class,predicted_class,mean_count_per_unit,row_normalized,unit_count
35,TARGET_ONLY_COSINE_PROTOTYPE,5,5,141.87,0.3152666666666667,100
35,TARGET_ONLY_COSINE_PROTOTYPE,5,6,50.83,0.11295555555555555,100
35,TARGET_ONLY_COSINE_PROTOTYPE,6,0,95.85,0.21299999999999997,100
35,TARGET_ONLY_COSINE_PROTOTYPE,6,1,44.34,0.09853333333333333,100
35,TARGET_ONLY_COSINE_PROTOTYPE,6,2,50.86,0.1130222222222222,100
35,TARGET_ONLY_COSINE_PROTOTYPE,6,3,59.42,0.13204444444444444,100
35,TARGET_ONLY_COSINE_PROTOTYPE,6,4,25.92,0.0576,100
35,TARGET_ONLY_COSINE_PROTOTYPE,6,5,91.03,0.20228888888888888,100
35,TARGET_ONLY_COSINE_PROTOTYPE,6,6,82.58,0.1835111111111111,100
35,FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,0,0,35.05,0.0778888888888889,100
35,FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,0,1,56.05,0.12455555555555556,100
35,FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,0,2,96.72,0.21493333333333337,100
35,FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,0,3,31.37,0.06971111111111113,100
35,FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,0,4,57.71,0.12824444444444447,100
35,FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,0,5,55.16,0.12257777777777779,100
35,FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,0,6,117.94,0.2620888888888889,100
35,FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,1,0,44.95,0.0998888888888889,100
35,FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,1,1,73.12,0.1624888888888889,100
35,FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,1,2,125.56,0.2790222222222222,100
35,FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,1,3,69.33,0.15406666666666666,100
35,FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,1,4,17.06,0.03791111111111111,100
35,FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,1,5,64.99,0.1444222222222222,100
35,FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,1,6,54.99,0.1222,100
35,FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,2,0,96.51,0.21446666666666667,100
35,FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,2,1,33.16,0.07368888888888889,100
35,FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,2,2,88.98,0.19773333333333334,100
35,FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,2,3,24.34,0.05408888888888889,100
35,FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,2,4,23.72,0.05271111111111111,100
35,FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,2,5,117.45,0.261,100
35,FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,2,6,65.84,0.14631111111111111,100
