budget,block_index,TagID,ER,surface,rows_per_unit,prototype_accuracy_mean,linear_accuracy_mean,linear_minus_prototype_accuracy,linear_accuracy_sd
35,57,7,1,0,50,0.04,0.44780000000000003,0.40780000000000005,0.49803569706955303
35,58,7,1,1,50,0.5496,0.0,-0.5496,0.0
35,59,7,1,2,50,0.0,0.0,0.0,0.0
35,60,7,2,0,50,0.48120000000000007,0.77,0.28879999999999995,0.42295258468165076
35,61,7,2,1,50,0.0698,0.1984,0.1286,0.39245078183336085
35,62,7,2,2,50,0.0098,0.9800000000000004,0.9702000000000004,4.463264492478967e-16
100,0,1,0,0,50,0.0,0.0,0.0,0.0
100,1,1,0,1,50,0.03,0.0,-0.03,0.0
100,2,1,0,2,50,0.02,0.0,-0.02,0.0
100,3,1,1,0,50,0.0,0.0,0.0,0.0
100,4,1,1,1,50,0.08,0.02,-0.06,0.14070529413628968
100,5,1,1,2,50,0.006999999999999999,0.0,-0.006999999999999999,0.0
100,6,1,2,0,50,0.0,0.0,0.0,0.0
100,7,1,2,1,50,0.0658,0.30019999999999997,0.23439999999999997,0.4267944410948845
100,8,1,2,2,50,0.0,0.5042000000000002,0.5042000000000002,0.45749687861164035
100,9,2,0,0,50,0.42539999999999994,0.8322000000000003,0.40680000000000033,0.36483725443301734
100,10,2,0,1,50,0.0,0.0,0.0,0.0
100,11,2,0,2,50,0.0006,0.2688,0.2682,0.34847222111509674
100,12,2,1,0,50,0.0,0.2,0.2,0.4020151261036849
100,13,2,1,1,50,0.17,0.0,-0.17,0.0
100,14,2,1,2,50,0.004,0.0,-0.004,0.0
100,15,2,2,0,50,0.0,0.0,0.0,0.0
100,16,2,2,1,50,0.21939999999999998,0.0,-0.21939999999999998,0.0
100,17,2,2,2,50,0.0146,0.06380000000000001,0.04920000000000001,0.17701669156017208
100,18,3,0,0,50,0.09879999999999999,0.0018,-0.09699999999999999,0.010286796479865913
100,19,3,0,1,50,0.0,0.0,0.0,0.0
100,20,3,0,2,50,0.023399999999999997,0.09700000000000002,0.07360000000000003,0.19497474583943308
100,21,3,1,0,50,0.0282,0.35359999999999997,0.32539999999999997,0.4780674902694443
100,22,3,1,1,50,0.08039999999999999,0.4044,0.324,0.4907185413948478
100,23,3,1,2,50,0.028999999999999998,0.013200000000000003,-0.015799999999999995,0.03773592452822641
100,24,3,2,0,50,0.0,0.0,0.0,0.0
100,25,3,2,1,50,0.02,0.8694,0.8493999999999999,0.33781777408071423
100,26,3,2,2,50,0.6049999999999999,0.0134,-0.5915999999999999,0.03867032375600105
100,27,4,0,0,50,0.16279999999999997,0.0466,-0.11619999999999997,0.1847314184693469
100,28,4,0,1,50,0.34700000000000003,0.27599999999999997,-0.07100000000000006,0.3126814624657129
100,29,4,0,2,50,0.1348,0.0,-0.1348,0.0
100,30,4,1,0,50,0.10619999999999997,0.054000000000000006,-0.05219999999999997,0.03861229196653692
100,31,4,1,1,50,0.0096,0.0,-0.0096,0.0
100,32,4,1,2,50,0.0036,0.007400000000000001,0.0038000000000000013,0.009704731741878199
100,33,4,2,0,50,0.0742,0.0,-0.0742,0.0
100,34,4,2,1,50,0.158,0.0668,-0.0912,0.24528227400159577
100,35,4,2,2,50,0.0,0.0,0.0,0.0
100,36,5,0,0,50,0.0518,0.2,0.1482,0.4020151261036849
100,37,5,0,1,50,0.0,0.0,0.0,0.0
100,38,5,0,2,50,0.0,0.0,0.0,0.0
100,39,5,1,0,50,0.011200000000000002,0.0,-0.011200000000000002,0.0
100,40,5,1,1,50,0.0,0.0266,0.0266,0.030225415755217616
100,41,5,1,2,50,0.046799999999999994,0.215,0.16820000000000002,0.38587562763149474
100,42,5,2,0,50,0.0024,0.0,-0.0024,0.0
100,43,5,2,1,50,0.0,0.7646000000000002,0.7646000000000002,0.38561879957525225
100,44,5,2,2,50,0.0,0.0,0.0,0.0
100,45,6,0,0,50,0.6332,0.0,-0.6332,0.0
100,46,6,0,1,50,0.18799999999999997,0.0192,-0.16879999999999998,0.028129570335729045
100,47,6,0,2,50,0.4317999999999999,0.3108000000000001,-0.12099999999999983,0.4501889165739875
100,48,6,1,0,50,0.28319999999999995,0.05019999999999999,-0.23299999999999996,0.030284175952654112
100,49,6,1,1,50,0.0,0.78,0.78,0.4163331998932266
100,50,6,1,2,50,0.4082,0.0,-0.4082,0.0
100,51,6,2,0,50,0.8733999999999998,0.0,-0.8733999999999998,0.0
100,52,6,2,1,50,0.3576,0.0,-0.3576,0.0
100,53,6,2,2,50,0.0,0.0,0.0,0.0
100,54,7,0,0,50,0.3802,0.02,-0.36019999999999996,0.14070529413628968
100,55,7,0,1,50,0.0,0.0,0.0,0.0
100,56,7,0,2,50,0.004,0.004200000000000001,0.00020000000000000052,0.008187203614806647
100,57,7,1,0,50,0.16060000000000002,0.4,0.2394,0.49236596391733095
100,58,7,1,1,50,0.47819999999999996,0.0,-0.47819999999999996,0.0
100,59,7,1,2,50,0.0,0.0,0.0,0.0
100,60,7,2,0,50,0.4806,0.8,0.3194,0.40201512610368484
100,61,7,2,1,50,0.06860000000000001,0.20520000000000002,0.1366,0.400046663944762
100,62,7,2,2,50,0.0,0.9800000000000004,0.9800000000000004,4.463264492478967e-16
500,0,1,0,0,50,0.0,0.0,0.0,0.0
500,1,1,0,1,50,0.0,0.0,0.0,0.0
500,2,1,0,2,50,0.0,0.0,0.0,0.0
500,3,1,1,0,50,0.0,0.0,0.0,0.0
500,4,1,1,1,50,0.0,0.0,0.0,0.0
500,5,1,1,2,50,0.0018,0.0,-0.0018,0.0
500,6,1,2,0,50,0.0,0.0,0.0,0.0
500,7,1,2,1,50,0.0,0.37599999999999995,0.37599999999999995,0.4628240060822912
