budget,source_seed,support_seed,fold,support_rows,class_count_min,class_count_max,regularization_lambda,initial_support_cross_entropy,support_cross_entropy,proximal_penalty,initial_objective,final_objective,objective_reduction,gradient_inf_norm,optimizer_iterations,optimizer_function_evaluations,closure_evaluations,support_accuracy,support_macro_f1,support_worst_class_f1,weight_displacement_frobenius,bias_displacement_l2,anchor_head_sha256,adapted_head_sha256,optimizer_completed_finite
20,42,181081,0,20,2,3,100.0,2.767244118473101,1.5959843924950081,0.35288613588422374,2.767244118473101,1.9488705283792318,0.8183735900938691,1.3581248148319958e-07,46,55,55,0.35,0.30204081632653057,0.0,2.518839483112997,0.06220323840631695,a338f249b8447412c022bd15c7755a1fd821f875683f31dcfde2df2cd1ea8def,abdff5b72e6953357e00cb829870268749edc945b3f937dafe590f4fe9614a37,True
21,42,181081,0,21,3,3,100.0,2.6841827470377417,1.6140387119834299,0.32436439132309636,2.6841827470377417,1.938403103306526,0.7457796437312156,2.1137649245392756e-07,48,54,54,0.3333333333333333,0.308843537414966,0.0,2.414848267957228,0.061832375390910604,a338f249b8447412c022bd15c7755a1fd821f875683f31dcfde2df2cd1ea8def,802ed8464fcfae20741873811fc46337000005d330268296779f3d69875e0b26,True
35,42,181081,0,35,5,5,100.0,2.7771797366983373,1.8470019854547937,0.2393386998186443,2.7771797366983373,2.086340685273438,0.6908390514248994,3.454684867109162e-07,60,76,76,0.22857142857142856,0.223953823953824,0.0,2.0744027868513473,0.050559743282307314,a338f249b8447412c022bd15c7755a1fd821f875683f31dcfde2df2cd1ea8def,b2fe04ff0516b78ef7c50c2cead4fdb64388ca7c7a0ac88c2c7a17c422eaf12e,True
50,42,181081,0,50,7,8,100.0,2.951086626711174,1.947636714819228,0.2742053650878451,2.951086626711174,2.221842079907073,0.7292445468041011,5.467391362180829e-07,41,47,47,0.18,0.1695970695970696,0.0,2.2206629141673204,0.04013402013551193,a338f249b8447412c022bd15c7755a1fd821f875683f31dcfde2df2cd1ea8def,b81d94375898afd250b017d02f201f316f878361fca954b4c62f2e76762bcdce,True
100,42,181081,0,100,14,15,100.0,2.901318373115821,1.9469184510441102,0.2523649350730899,2.901318373115821,2.1992833861172,0.7020349869986213,4.0264196502284855e-07,52,60,60,0.2,0.19357019836282507,0.0,2.1303101463291427,0.04270670219056927,a338f249b8447412c022bd15c7755a1fd821f875683f31dcfde2df2cd1ea8def,f394fbebc9892a42579616c13cd8241bb0ee2060248f013165d2b8d1677b2a08,True
200,42,181081,0,200,28,29,100.0,2.9147618700060054,1.9590904268984952,0.2531714204934796,2.9147618700060054,2.212261847391975,0.7025000226140303,1.8410649374814292e-07,50,54,54,0.185,0.17733870277670816,0.0,2.133731877443693,0.04173882914401702,a338f249b8447412c022bd15c7755a1fd821f875683f31dcfde2df2cd1ea8def,0dad6d91af99bdcce240ac662344a80e6cce8edddfd1f9a051e200655df2f79a,True
500,42,181081,0,500,71,72,100.0,2.9263468373799992,1.9568862344000744,0.2576325948444367,2.9263468373799992,2.2145188292445113,0.711828008135488,2.246066930760432e-07,40,45,45,0.242,0.23971464144868654,0.0,2.1524841532728103,0.040278420535660546,a338f249b8447412c022bd15c7755a1fd821f875683f31dcfde2df2cd1ea8def,eb02888827a19373400fda3c67c0198f834cb88e7e9f78d519792057fed919be,True
7,42,205439,0,7,1,1,100.0,3.594554574949066,1.0757466239418265,0.6418579142322162,3.594554574949066,1.7176045381740428,1.8769500367750234,2.3714702337908518e-07,49,64,64,0.8571428571428571,0.8095238095238095,0.0,3.3979304652692726,0.03305193235678464,a338f249b8447412c022bd15c7755a1fd821f875683f31dcfde2df2cd1ea8def,a5445d86cf9d4bdb5cc2f69893a1a4b339484fb460f8fb4fe7396aa0ee144665,True
10,42,205439,0,10,1,2,100.0,3.284079340909117,1.1141896589477667,0.5613471539446013,3.284079340909117,1.675536812892368,1.6085425280167491,1.88526346492357e-07,52,59,59,0.8,0.7523809523809524,0.0,3.1777133139452522,0.027809959339539517,a338f249b8447412c022bd15c7755a1fd821f875683f31dcfde2df2cd1ea8def,9f3308cade203f52b4d1380988fdb67a4690d98e39e44a9955f8d7e720f28505,True
20,42,205439,0,20,2,3,100.0,3.0573432038856945,1.6917101749276005,0.37621828906569227,3.0573432038856945,2.067928463993293,0.9894147398924016,2.387714982277772e-07,50,57,57,0.45,0.4482993197278912,0.0,2.601116932421998,0.04855640183723358,a338f249b8447412c022bd15c7755a1fd821f875683f31dcfde2df2cd1ea8def,5a3e0e262ebfb0460788e3a9e89cd828aaf83a6b92d12835fd9dfd6fb1dec229,True
21,42,205439,0,21,3,3,100.0,3.108485557301015,1.6917341848215455,0.37404331073681063,3.108485557301015,2.065777495558356,1.0427080617426592,2.0052859446822308e-07,52,72,72,0.47619047619047616,0.4673469387755102,0.0,2.5935869636478706,0.048433688183384796,a338f249b8447412c022bd15c7755a1fd821f875683f31dcfde2df2cd1ea8def,8bbb0482dca3316da51fb6b52989bed8a88a2afcc1682327b9e1689681397d20,True
35,42,205439,0,35,5,5,100.0,2.7775752259537776,1.764458749009526,0.266860066650477,2.7775752259537776,2.0313188156600033,0.7462564102937743,2.675774414019616e-07,41,46,46,0.2857142857142857,0.2810966810966811,0.0,2.190474884588022,0.0513067152639482,a338f249b8447412c022bd15c7755a1fd821f875683f31dcfde2df2cd1ea8def,9ec877000864fbfdab92be2b689c098ba65a374f4feca9bc4c4643bac7d63227,True
50,42,205439,0,50,7,8,100.0,3.0414286953324616,1.944999118321176,0.2914455721328228,3.0414286953324616,2.2364446904539985,0.8049840048784631,4.901657818129706e-07,55,62,62,0.24,0.23155625886718326,0.0,2.289385087931568,0.04268210194036573,a338f249b8447412c022bd15c7755a1fd821f875683f31dcfde2df2cd1ea8def,cc519665fdd547b8de6aec1b62c6d55cc1ba8cbf8e5428ad55dcb2bdb04017a2,True
100,42,205439,0,100,14,15,100.0,3.0132386584431594,1.9573840744460125,0.27981575634159844,3.0132386584431594,2.237199830787611,0.7760388276555483,2.650508694026013e-07,42,48,48,0.24,0.23403255346803734,0.0,2.2432315596943653,0.042398421863813304,a338f249b8447412c022bd15c7755a1fd821f875683f31dcfde2df2cd1ea8def,648c6fd1783fc5406b6881c6bea212062397dce890860e97263444f34be6c5d8,True
200,42,205439,0,200,28,29,100.0,2.9407799256081266,1.9427925527079182,0.2676859726091671,2.9407799256081266,2.210478525317085,0.7303014002910415,3.1906211531520547e-07,53,73,73,0.265,0.25894951472696054,0.0,2.194043912869748,0.04291801064964547,a338f249b8447412c022bd15c7755a1fd821f875683f31dcfde2df2cd1ea8def,f67fa8f611328573bdba7948e07bc554e666bdab2a92e56f0f637299c9927292,True
500,42,205439,0,500,71,72,100.0,2.9337072274837532,1.9543683390167739,0.2594706995813105,2.9337072274837532,2.2138390385980844,0.7198681888856688,2.1214983164999368e-07,45,55,55,0.258,0.2533384116545319,0.0,2.1601240825265733,0.04173527951871618,a338f249b8447412c022bd15c7755a1fd821f875683f31dcfde2df2cd1ea8def,86a7452ed5199ba5fc59522034df54a1807c9df9007da65d5dfa6f074460203e,True
