method,lambda,fold_id,held_position,seed,macro_f1,accuracy,worst_class_recall,train_to_held_macro_f1_gap,selected_checkpoint_epoch
erm,,S2,P2,44,0.18032750302180828,0.18793650793650793,0.0,0.8160247583081479,18
irm,1.0,S2,P2,44,0.15338199886272424,0.15873015873015872,0.0,0.8068365824799959,11
irm,10.0,S2,P2,44,0.03621730382293763,0.14285714285714285,0.0,0.016513338772155106,11
irm,100.0,S2,P2,44,0.03571428571428571,0.14285714285714285,0.0,0.0,11
irm,1000.0,S2,P2,44,0.03571428571428571,0.14285714285714285,0.0,0.0009641040514231022,11
erm,,S2,P2,45,0.14914031301495673,0.17746031746031746,0.0,0.8495889528796936,29
irm,1.0,S2,P2,45,0.10579489851307664,0.15777777777777777,0.0,0.6457445205795959,17
irm,10.0,S2,P2,45,0.03571428571428571,0.14285714285714285,0.0,0.0,10
irm,100.0,S2,P2,45,0.03571428571428571,0.14285714285714285,0.0,0.0,10
irm,1000.0,S2,P2,45,0.03571428571428571,0.14285714285714285,0.0,0.0,10
erm,,S2,P2,46,0.1606815975731727,0.15904761904761905,0.1111111111111111,0.8358272560804288,17
irm,1.0,S2,P2,46,0.19520089409846114,0.22063492063492063,0.0,0.680287454852702,9
irm,10.0,S2,P2,46,0.03571428571428571,0.14285714285714285,0.0,0.00024975024975025517,9
irm,100.0,S2,P2,46,0.03571428571428571,0.14285714285714285,0.0,0.0,9
irm,1000.0,S2,P2,46,0.03571428571428571,0.14285714285714285,0.0,0.0,9
erm,,S3,P3,42,0.13173890668382743,0.20539682539682538,0.0,0.8134653123084976,7
irm,1.0,S3,P3,42,0.13173890668382743,0.20539682539682538,0.0,0.8134653123084976,7
irm,10.0,S3,P3,42,0.13173890668382743,0.20539682539682538,0.0,0.8134653123084976,7
irm,100.0,S3,P3,42,0.13173890668382743,0.20539682539682538,0.0,0.8134653123084976,7
irm,1000.0,S3,P3,42,0.13173890668382743,0.20539682539682538,0.0,0.8134653123084976,7
erm,,S3,P3,43,0.12066831817146918,0.19650793650793652,0.0,0.874418690155763,10
irm,1.0,S3,P3,43,0.17022308351269735,0.24253968253968253,0.0,0.7686924904828708,10
irm,10.0,S3,P3,43,0.08443720841297662,0.17365079365079364,0.0,0.02010384823770149,10
irm,100.0,S3,P3,43,0.03571428571428571,0.14285714285714285,0.0,0.13606216691835754,10
irm,1000.0,S3,P3,43,0.03571428571428571,0.14285714285714285,0.0,0.1490408395383594,10
erm,,S3,P3,44,0.15784641763863513,0.21079365079365078,0.0,0.5249989227113826,3
irm,1.0,S3,P3,44,0.15784641763863513,0.21079365079365078,0.0,0.5249989227113826,3
irm,10.0,S3,P3,44,0.15784641763863513,0.21079365079365078,0.0,0.5249989227113826,3
irm,100.0,S3,P3,44,0.15784641763863513,0.21079365079365078,0.0,0.5249989227113826,3
irm,1000.0,S3,P3,44,0.15784641763863513,0.21079365079365078,0.0,0.5249989227113826,3
erm,,S3,P3,45,0.0951687017650906,0.1511111111111111,0.0,0.9010251678640262,16
irm,1.0,S3,P3,45,0.0868284517835681,0.1746031746031746,0.0,0.2255876606354826,33
irm,10.0,S3,P3,45,0.09625344907049742,0.15428571428571428,0.0,0.0965255256280838,10
irm,100.0,S3,P3,45,0.03571428571428571,0.14285714285714285,0.0,0.0,10
irm,1000.0,S3,P3,45,0.03571428571428571,0.14285714285714285,0.0,0.0,10
erm,,S3,P3,46,0.25979518556433107,0.31523809523809526,0.0,0.5963565501816412,6
irm,1.0,S3,P3,46,0.25979518556433107,0.31523809523809526,0.0,0.5963565501816412,6
irm,10.0,S3,P3,46,0.25979518556433107,0.31523809523809526,0.0,0.5963565501816412,6
irm,100.0,S3,P3,46,0.25979518556433107,0.31523809523809526,0.0,0.5963565501816412,6
irm,1000.0,S3,P3,46,0.25979518556433107,0.31523809523809526,0.0,0.5963565501816412,6
