budget,budget_label,claim_type,method,source_seed,support_seed,query_rows,query_condition_blocks,accuracy,macro_f1,balanced_accuracy,worst_class_f1,block_majority_accuracy,block_majority_macro_f1,prediction_sha256
7,1-shot (7 labels),TARGET_ASSISTED_LABELLED_TARGET_CALIBRATION,TARGET_ONLY_COSINE_PROTOTYPE,43,130363,3150,63,0.15587301587301589,0.1189372275825833,0.15587301587301589,0.0,0.15873015873015872,0.11989600437876301,e9e0032f4c0fddc4c7888e33008be563b14dad067a6edf46f83fc58e9fbbe8ca
7,1-shot (7 labels),TARGET_ASSISTED_LABELLED_TARGET_CALIBRATION,TARGET_ONLY_COSINE_PROTOTYPE,43,155921,3150,63,0.12984126984126984,0.12931442083876998,0.12984126984126984,0.0,0.12698412698412698,0.12838190195986862,70369bb72f544fbe22920161fcaba45006478cfad04d418620ec7b8f989921e8
7,1-shot (7 labels),TARGET_ASSISTED_LABELLED_TARGET_CALIBRATION,TARGET_ONLY_COSINE_PROTOTYPE,43,181081,3150,63,0.13015873015873017,0.12431634477171714,0.13015873015873017,0.0,0.12698412698412698,0.12003468053888222,79bee617a2b698f94e82c49cfed7bf7b448c7b5f3f05ed7c8c4add59ce0a31ae
7,1-shot (7 labels),TARGET_ASSISTED_LABELLED_TARGET_CALIBRATION,TARGET_ONLY_COSINE_PROTOTYPE,43,205439,3150,63,0.1419047619047619,0.13095870326377357,0.1419047619047619,0.0,0.14285714285714285,0.13136690776442328,6bef291b786b61ca708e65f985442617fc2bb4cd9bb7465d86c06546fc644833
7,1-shot (7 labels),TARGET_ASSISTED_LABELLED_TARGET_CALIBRATION,TARGET_ONLY_COSINE_PROTOTYPE,43,230003,3150,63,0.1438095238095238,0.1340924310250914,0.1438095238095238,0.0,0.14285714285714285,0.1321760888263351,ea608bc6edc5ae582ba2f7395539ca3cc325ce7adaec201f80813d82be5949eb
7,1-shot (7 labels),TARGET_ASSISTED_LABELLED_TARGET_CALIBRATION,TARGET_ONLY_COSINE_PROTOTYPE,43,254959,3150,63,0.09619047619047619,0.09167911413898208,0.09619047619047619,0.0,0.09523809523809523,0.09123188405797102,f6fa8eb957d3064fc9f5279a123298f312be97532c3d6fd64bcc377a44aa4c06
7,1-shot (7 labels),TARGET_ASSISTED_LABELLED_TARGET_CALIBRATION,TARGET_ONLY_COSINE_PROTOTYPE,43,280001,3150,63,0.12571428571428572,0.11948104195445765,0.12571428571428572,0.0,0.12698412698412698,0.1201814058956916,15b9663b5818b14118100d8cee84caa96d581e1b0ef9830884fdcd87c53bf0c8
7,1-shot (7 labels),TARGET_ASSISTED_LABELLED_TARGET_CALIBRATION,TARGET_ONLY_COSINE_PROTOTYPE,43,305093,3150,63,0.14888888888888888,0.1315586632963382,0.14888888888888888,0.003552397868561279,0.15873015873015872,0.14117092991042574,aedae3ec444e61729064025b37281ab104a2af2178feafbf390830146687e335
7,1-shot (7 labels),TARGET_ASSISTED_LABELLED_TARGET_CALIBRATION,TARGET_ONLY_COSINE_PROTOTYPE,43,330017,3150,63,0.14857142857142858,0.1362138380942523,0.14857142857142858,0.0,0.14285714285714285,0.1322450719418202,963e79f2856da0a293adbad1db0ae95faf6bb554bae8aa3a60a576ec1301d957
7,1-shot (7 labels),TARGET_ASSISTED_LABELLED_TARGET_CALIBRATION,TARGET_ONLY_COSINE_PROTOTYPE,43,355031,3150,63,0.1796825396825397,0.18032424257110705,0.1796825396825397,0.06996381182147166,0.19047619047619047,0.19101290865996745,635ca19955d393f430ef0df205b8cbc0faab951b2912bf86d88273c3f55fb2e6
7,1-shot (7 labels),TARGET_ASSISTED_LABELLED_TARGET_CALIBRATION,TARGET_ONLY_COSINE_PROTOTYPE,43,380041,3150,63,0.12857142857142856,0.12476820702013487,0.1285714285714286,0.0,0.12698412698412698,0.12321244287188561,6ad406402d97d277071a07bc468c84433c86b199c3788c2562af90571e29363a
