budget,true_class,predicted_class,mean_count_per_unit,row_normalized,unit_count
20,4,4,38.08,0.08462222222222222,100
20,4,5,85.62,0.19026666666666667,100
20,4,6,40.03,0.08895555555555555,100
20,5,0,61.96,0.1376888888888889,100
20,5,1,59.05,0.1312222222222222,100
20,5,2,26.22,0.05826666666666666,100
20,5,3,95.44,0.21208888888888888,100
20,5,4,39.45,0.08766666666666667,100
20,5,5,114.5,0.2544444444444444,100
20,5,6,53.38,0.11862222222222223,100
20,6,0,72.11,0.16024444444444444,100
20,6,1,51.37,0.11415555555555555,100
20,6,2,59.95,0.13322222222222224,100
20,6,3,67.27,0.1494888888888889,100
20,6,4,37.57,0.08348888888888889,100
20,6,5,85.86,0.1908,100
20,6,6,75.87,0.1686,100
21,0,0,31.58,0.07017777777777777,100
21,0,1,64.11,0.14246666666666666,100
21,0,2,74.66,0.1659111111111111,100
21,0,3,40.53,0.09006666666666667,100
21,0,4,87.3,0.194,100
21,0,5,48.67,0.10815555555555556,100
21,0,6,103.15,0.22922222222222224,100
21,1,0,38.09,0.08464444444444447,100
21,1,1,50.86,0.11302222222222223,100
21,1,2,99.94,0.22208888888888892,100
21,1,3,56.76,0.12613333333333335,100
21,1,4,44.28,0.09840000000000002,100
21,1,5,110.71,0.24602222222222225,100
21,1,6,49.36,0.1096888888888889,100
21,2,0,71.5,0.15888888888888886,100
21,2,1,78.07,0.17348888888888886,100
21,2,2,68.79,0.15286666666666665,100
21,2,3,76.42,0.1698222222222222,100
21,2,4,40.54,0.09008888888888887,100
21,2,5,57.92,0.1287111111111111,100
21,2,6,56.76,0.12613333333333332,100
21,3,0,33.73,0.07495555555555555,100
21,3,1,44.6,0.09911111111111111,100
21,3,2,70.22,0.15604444444444443,100
21,3,3,71.11,0.15802222222222223,100
21,3,4,87.46,0.19435555555555553,100
21,3,5,78.39,0.1742,100
21,3,6,64.49,0.1433111111111111,100
21,4,0,63.97,0.14215555555555556,100
21,4,1,50.41,0.11202222222222222,100
21,4,2,52.24,0.1160888888888889,100
21,4,3,115.32,0.25626666666666664,100
21,4,4,34.6,0.0768888888888889,100
21,4,5,91.3,0.2028888888888889,100
21,4,6,42.16,0.09368888888888888,100
21,5,0,60.98,0.1355111111111111,100
21,5,1,61.51,0.13668888888888892,100
21,5,2,24.84,0.055200000000000006,100
21,5,3,95.53,0.21228888888888892,100
21,5,4,31.42,0.06982222222222223,100
21,5,5,123.65,0.27477777777777784,100
21,5,6,52.07,0.11571111111111113,100
21,6,0,74.22,0.16493333333333335,100
21,6,1,53.17,0.11815555555555557,100
21,6,2,61.79,0.13731111111111113,100
21,6,3,69.6,0.15466666666666667,100
21,6,4,31.4,0.06977777777777779,100
21,6,5,89.25,0.19833333333333336,100
21,6,6,70.57,0.15682222222222222,100
35,0,0,13.17,0.029266666666666667,100
35,0,1,74.82,0.16626666666666665,100
35,0,2,101.37,0.22526666666666667,100
35,0,3,28.57,0.06348888888888889,100
35,0,4,93.6,0.208,100
