fold,support_seed,total_labelled_measurements,unique_TagIDs,unique_ER_levels,unique_surfaces,unique_condition_blocks,unique_exact_signals,repeated_measurements_beyond_first_per_block,minimum_labels_per_TagID,maximum_labels_per_TagID,minimum_labels_per_covered_block,maximum_labels_per_covered_block,selected_factor_cell_order
0,380041,10,7,2,2,10,10,0,1,2,1,1,E2xS0;E1xS2;E1xS0;E0xS1;E2xS1;E0xS2
0,380041,20,7,2,2,20,20,0,2,3,1,1,E2xS0;E1xS2;E1xS0;E0xS1;E2xS1;E0xS2
0,380041,21,7,2,2,21,21,0,3,3,1,1,E2xS0;E1xS2;E1xS0;E0xS1;E2xS1;E0xS2
0,380041,35,7,3,3,35,35,0,5,5,1,1,E2xS0;E1xS2;E1xS0;E0xS1;E2xS1;E0xS2
0,380041,50,7,3,3,42,50,8,7,8,1,2,E2xS0;E1xS2;E1xS0;E0xS1;E2xS1;E0xS2
0,380041,100,7,3,3,42,97,58,14,15,2,3,E2xS0;E1xS2;E1xS0;E0xS1;E2xS1;E0xS2
0,380041,200,7,3,3,42,178,158,28,29,4,5,E2xS0;E1xS2;E1xS0;E0xS1;E2xS1;E0xS2
0,380041,500,7,3,3,42,384,458,71,72,11,12,E2xS0;E1xS2;E1xS0;E0xS1;E2xS1;E0xS2
0,405019,7,7,1,1,7,7,0,1,1,1,1,E0xS1;E1xS2;E1xS0;E2xS1;E0xS2;E2xS0
0,405019,10,7,2,2,10,10,0,1,2,1,1,E0xS1;E1xS2;E1xS0;E2xS1;E0xS2;E2xS0
0,405019,20,7,2,3,20,20,0,2,3,1,1,E0xS1;E1xS2;E1xS0;E2xS1;E0xS2;E2xS0
0,405019,21,7,2,3,21,21,0,3,3,1,1,E0xS1;E1xS2;E1xS0;E2xS1;E0xS2;E2xS0
0,405019,35,7,3,3,35,35,0,5,5,1,1,E0xS1;E1xS2;E1xS0;E2xS1;E0xS2;E2xS0
0,405019,50,7,3,3,42,50,8,7,8,1,2,E0xS1;E1xS2;E1xS0;E2xS1;E0xS2;E2xS0
0,405019,100,7,3,3,42,100,58,14,15,2,3,E0xS1;E1xS2;E1xS0;E2xS1;E0xS2;E2xS0
0,405019,200,7,3,3,42,184,158,28,29,4,5,E0xS1;E1xS2;E1xS0;E2xS1;E0xS2;E2xS0
0,405019,500,7,3,3,42,391,458,71,72,11,12,E0xS1;E1xS2;E1xS0;E2xS1;E0xS2;E2xS0
0,430007,7,7,1,1,7,7,0,1,1,1,1,E2xS0;E2xS1;E0xS2;E0xS1;E1xS0;E1xS2
0,430007,10,7,1,2,10,10,0,1,2,1,1,E2xS0;E2xS1;E0xS2;E0xS1;E1xS0;E1xS2
0,430007,20,7,2,3,20,20,0,2,3,1,1,E2xS0;E2xS1;E0xS2;E0xS1;E1xS0;E1xS2
0,430007,21,7,2,3,21,21,0,3,3,1,1,E2xS0;E2xS1;E0xS2;E0xS1;E1xS0;E1xS2
0,430007,35,7,3,3,35,35,0,5,5,1,1,E2xS0;E2xS1;E0xS2;E0xS1;E1xS0;E1xS2
0,430007,50,7,3,3,42,50,8,7,8,1,2,E2xS0;E2xS1;E0xS2;E0xS1;E1xS0;E1xS2
0,430007,100,7,3,3,42,97,58,14,15,2,3,E2xS0;E2xS1;E0xS2;E0xS1;E1xS0;E1xS2
0,430007,200,7,3,3,42,183,158,28,29,4,5,E2xS0;E2xS1;E0xS2;E0xS1;E1xS0;E1xS2
0,430007,500,7,3,3,42,395,458,71,72,11,12,E2xS0;E2xS1;E0xS2;E0xS1;E1xS0;E1xS2
0,455003,7,7,1,1,7,7,0,1,1,1,1,E1xS2;E1xS0;E0xS1;E2xS1;E2xS0;E0xS2
0,455003,10,7,1,2,10,10,0,1,2,1,1,E1xS2;E1xS0;E0xS1;E2xS1;E2xS0;E0xS2
0,455003,20,7,2,3,20,20,0,2,3,1,1,E1xS2;E1xS0;E0xS1;E2xS1;E2xS0;E0xS2
0,455003,21,7,2,3,21,21,0,3,3,1,1,E1xS2;E1xS0;E0xS1;E2xS1;E2xS0;E0xS2
0,455003,35,7,3,3,35,35,0,5,5,1,1,E1xS2;E1xS0;E0xS1;E2xS1;E2xS0;E0xS2
0,455003,50,7,3,3,42,50,8,7,8,1,2,E1xS2;E1xS0;E0xS1;E2xS1;E2xS0;E0xS2
0,455003,100,7,3,3,42,95,58,14,15,2,3,E1xS2;E1xS0;E0xS1;E2xS1;E2xS0;E0xS2
0,455003,200,7,3,3,42,182,158,28,29,4,5,E1xS2;E1xS0;E0xS1;E2xS1;E2xS0;E0xS2
0,455003,500,7,3,3,42,380,458,71,72,11,12,E1xS2;E1xS0;E0xS1;E2xS1;E2xS0;E0xS2
0,480017,7,7,1,1,7,7,0,1,1,1,1,E0xS2;E2xS1;E1xS2;E0xS1;E2xS0;E1xS0
0,480017,10,7,2,2,10,10,0,1,2,1,1,E0xS2;E2xS1;E1xS2;E0xS1;E2xS0;E1xS0
0,480017,20,7,3,2,20,20,0,2,3,1,1,E0xS2;E2xS1;E1xS2;E0xS1;E2xS0;E1xS0
0,480017,21,7,3,2,21,21,0,3,3,1,1,E0xS2;E2xS1;E1xS2;E0xS1;E2xS0;E1xS0
0,480017,35,7,3,3,35,35,0,5,5,1,1,E0xS2;E2xS1;E1xS2;E0xS1;E2xS0;E1xS0
0,480017,50,7,3,3,42,50,8,7,8,1,2,E0xS2;E2xS1;E1xS2;E0xS1;E2xS0;E1xS0
0,480017,100,7,3,3,42,99,58,14,15,2,3,E0xS2;E2xS1;E1xS2;E0xS1;E2xS0;E1xS0
0,480017,200,7,3,3,42,189,158,28,29,4,5,E0xS2;E2xS1;E1xS2;E0xS1;E2xS0;E1xS0
0,480017,500,7,3,3,42,382,458,71,72,11,12,E0xS2;E2xS1;E1xS2;E0xS1;E2xS0;E1xS0
0,505027,7,7,1,1,7,7,0,1,1,1,1,E0xS2;E2xS1;E2xS0;E0xS1;E1xS0;E1xS2
0,505027,10,7,2,2,10,10,0,1,2,1,1,E0xS2;E2xS1;E2xS0;E0xS1;E1xS0;E1xS2
0,505027,20,7,2,3,20,20,0,2,3,1,1,E0xS2;E2xS1;E2xS0;E0xS1;E1xS0;E1xS2
0,505027,21,7,2,3,21,21,0,3,3,1,1,E0xS2;E2xS1;E2xS0;E0xS1;E1xS0;E1xS2
0,505027,35,7,3,3,35,35,0,5,5,1,1,E0xS2;E2xS1;E2xS0;E0xS1;E1xS0;E1xS2
0,505027,50,7,3,3,42,50,8,7,8,1,2,E0xS2;E2xS1;E2xS0;E0xS1;E1xS0;E1xS2
0,505027,100,7,3,3,42,97,58,14,15,2,3,E0xS2;E2xS1;E2xS0;E0xS1;E1xS0;E1xS2
0,505027,200,7,3,3,42,187,158,28,29,4,5,E0xS2;E2xS1;E2xS0;E0xS1;E1xS0;E1xS2
0,505027,500,7,3,3,42,392,458,71,72,11,12,E0xS2;E2xS1;E2xS0;E0xS1;E1xS0;E1xS2
0,530017,7,7,1,1,7,7,0,1,1,1,1,E0xS1;E0xS2;E1xS2;E1xS0;E2xS1;E2xS0
0,530017,10,7,1,2,10,10,0,1,2,1,1,E0xS1;E0xS2;E1xS2;E1xS0;E2xS1;E2xS0
0,530017,20,7,2,2,20,20,0,2,3,1,1,E0xS1;E0xS2;E1xS2;E1xS0;E2xS1;E2xS0
0,530017,21,7,2,2,21,21,0,3,3,1,1,E0xS1;E0xS2;E1xS2;E1xS0;E2xS1;E2xS0
0,530017,35,7,3,3,35,35,0,5,5,1,1,E0xS1;E0xS2;E1xS2;E1xS0;E2xS1;E2xS0
0,530017,50,7,3,3,42,50,8,7,8,1,2,E0xS1;E0xS2;E1xS2;E1xS0;E2xS1;E2xS0
0,530017,100,7,3,3,42,97,58,14,15,2,3,E0xS1;E0xS2;E1xS2;E1xS0;E2xS1;E2xS0
0,530017,200,7,3,3,42,181,158,28,29,4,5,E0xS1;E0xS2;E1xS2;E1xS0;E2xS1;E2xS0
