budget,factor,level,rows_per_unit,unit_count,macro_f1_mean,macro_f1_sd,accuracy_mean,accuracy_sd
35,surface,1,1050,100,0.1031768800700232,0.059148844903962015,0.11465714285714287,0.05968528669494063
35,surface,2,1050,100,0.06885037891720429,0.042430610151877976,0.08666666666666668,0.05096687633489783
50,ER,0,1050,100,0.11960421887106981,0.060714126492775335,0.13991428571428574,0.06445959702156465
50,ER,1,1050,100,0.08255257035919111,0.04601474355565849,0.09308571428571431,0.04885432334411741
50,ER,2,1050,100,0.12921489871567673,0.04443710148111401,0.14656190476190478,0.04748357738383147
50,surface,0,1050,100,0.14614035745304538,0.060714344724167944,0.18142857142857147,0.06328776655734966
50,surface,1,1050,100,0.09597877500126303,0.05477530467413302,0.10417142857142857,0.05497870463050615
50,surface,2,1050,100,0.07179076890721736,0.03323611710425178,0.09396190476190476,0.0429128428593817
100,ER,0,1050,100,0.11408032182803743,0.05683023874203364,0.13960952380952382,0.060639392263513614
100,ER,1,1050,100,0.08193151467874793,0.04459153304568361,0.09077142857142856,0.04707640697942926
100,ER,2,1050,100,0.12137581774517335,0.044751508837591505,0.1399809523809524,0.04901316264029896
100,surface,0,1050,100,0.14064656474572657,0.05501231103292411,0.17962857142857142,0.052742535293665974
100,surface,1,1050,100,0.09894535952640249,0.06082505788561205,0.10821904761904762,0.06242269072809322
100,surface,2,1050,100,0.060324168952700034,0.03214235323231944,0.0825142857142857,0.045520174705608964
200,ER,0,1050,100,0.1144450468752988,0.05331765724015817,0.14503809523809527,0.06246020029655801
200,ER,1,1050,100,0.06595339905266658,0.04344368123364131,0.07677142857142857,0.044695414885369954
200,ER,2,1050,100,0.1290939532362799,0.038500936188749516,0.14502857142857142,0.04032509045977592
200,surface,0,1050,100,0.14322391402861365,0.04280374916927315,0.19068571428571424,0.04256693576833932
200,surface,1,1050,100,0.0855987484914832,0.05735445561178722,0.09200952380952383,0.05432694568459586
200,surface,2,1050,100,0.06154726782288819,0.03157005089947365,0.08414285714285714,0.04520081499759722
500,ER,0,1050,100,0.11398805979663021,0.049672092896055786,0.14459999999999998,0.058165146907777715
500,ER,1,1050,100,0.05939588482296088,0.04677917526241341,0.06879047619047618,0.04768189311359464
500,ER,2,1050,100,0.12267882989784501,0.030920950781767258,0.1392952380952381,0.02984483721884022
500,surface,0,1050,100,0.144254128545468,0.04290519325368799,0.1908285714285714,0.039549133330347035
500,surface,1,1050,100,0.07583614443756079,0.04675407276818024,0.0824,0.03921992509053639
500,surface,2,1050,100,0.05901877211068885,0.025255591846161968,0.07945714285714287,0.040046985620454216
