row_type,comparison,metric,unit_id,source_seed,p4_split_seed,baseline_value,treatment_value,difference,mean_difference,sample_sd_difference,median_difference,minimum_difference,maximum_difference,positive_count,zero_count,negative_count,bootstrap_ci_lower,bootstrap_ci_upper,bootstrap_replicates,bootstrap_seed
UNIT,A2_MINUS_A0,macro_f1,source_seed_42_split_seed_11,42,11,0.12406863036319249,0.9823104479356438,0.8582418175724513,,,,,,,,,,,,
UNIT,A2_MINUS_A0,macro_f1,source_seed_42_split_seed_23,42,23,0.12444962320820463,0.9859711337661763,0.8615215105579717,,,,,,,,,,,,
UNIT,A2_MINUS_A0,macro_f1,source_seed_42_split_seed_37,42,37,0.12613506373333336,0.9887730636191503,0.8626379998858169,,,,,,,,,,,,
UNIT,A2_MINUS_A0,macro_f1,source_seed_42_split_seed_53,42,53,0.12454591337458516,0.9867681473783421,0.8622222340037569,,,,,,,,,,,,
UNIT,A2_MINUS_A0,macro_f1,source_seed_42_split_seed_71,42,71,0.12442264630262703,0.9907508340336612,0.8663281877310341,,,,,,,,,,,,
UNIT,A2_MINUS_A0,macro_f1,source_seed_43_split_seed_11,43,11,0.10043390741329676,0.9859214643484739,0.8854875569351772,,,,,,,,,,,,
UNIT,A2_MINUS_A0,macro_f1,source_seed_43_split_seed_23,43,23,0.09720363060380563,0.9815219679683391,0.8843183373645335,,,,,,,,,,,,
UNIT,A2_MINUS_A0,macro_f1,source_seed_43_split_seed_37,43,37,0.0991042951739175,0.9806443977867357,0.8815401026128182,,,,,,,,,,,,
UNIT,A2_MINUS_A0,macro_f1,source_seed_43_split_seed_53,43,53,0.09465208332975146,0.986365435834626,0.8917133525048745,,,,,,,,,,,,
UNIT,A2_MINUS_A0,macro_f1,source_seed_43_split_seed_71,43,71,0.09692354013485086,0.9765914656465258,0.8796679255116749,,,,,,,,,,,,
UNIT,A2_MINUS_A0,macro_f1,source_seed_44_split_seed_11,44,11,0.1010112274287114,0.9875517982811758,0.8865405708524644,,,,,,,,,,,,
UNIT,A2_MINUS_A0,macro_f1,source_seed_44_split_seed_23,44,23,0.10085102747489842,0.9827028440377027,0.8818518165628043,,,,,,,,,,,,
UNIT,A2_MINUS_A0,macro_f1,source_seed_44_split_seed_37,44,37,0.10231208195110231,0.9814197063597333,0.879107624408631,,,,,,,,,,,,
UNIT,A2_MINUS_A0,macro_f1,source_seed_44_split_seed_53,44,53,0.10009005865821051,0.9802781257709829,0.8801880671127724,,,,,,,,,,,,
UNIT,A2_MINUS_A0,macro_f1,source_seed_44_split_seed_71,44,71,0.10172422445739282,0.9810025200327207,0.8792782955753279,,,,,,,,,,,,
UNIT,A2_MINUS_A0,macro_f1,source_seed_45_split_seed_11,45,11,0.13285886718762807,0.984325691724606,0.851466824536978,,,,,,,,,,,,
UNIT,A2_MINUS_A0,macro_f1,source_seed_45_split_seed_23,45,23,0.13291754547996912,0.961943384791165,0.8290258393111959,,,,,,,,,,,,
UNIT,A2_MINUS_A0,macro_f1,source_seed_45_split_seed_37,45,37,0.13614982593785088,0.9863066859276787,0.8501568599898278,,,,,,,,,,,,
UNIT,A2_MINUS_A0,macro_f1,source_seed_45_split_seed_53,45,53,0.13147384671766021,0.9847194451212806,0.8532455984036205,,,,,,,,,,,,
UNIT,A2_MINUS_A0,macro_f1,source_seed_45_split_seed_71,45,71,0.13645935870406606,0.9866960455963889,0.8502366868923228,,,,,,,,,,,,
UNIT,A2_MINUS_A0,macro_f1,source_seed_46_split_seed_11,46,11,0.09879249462127415,0.9867488989589577,0.8879564043376835,,,,,,,,,,,,
UNIT,A2_MINUS_A0,macro_f1,source_seed_46_split_seed_23,46,23,0.0984167477393499,0.9847228145153321,0.8863060667759821,,,,,,,,,,,,
UNIT,A2_MINUS_A0,macro_f1,source_seed_46_split_seed_37,46,37,0.10248951367774227,0.9826742662757886,0.8801847525980463,,,,,,,,,,,,
UNIT,A2_MINUS_A0,macro_f1,source_seed_46_split_seed_53,46,53,0.09954188731318121,0.9871889105336685,0.8876470232204873,,,,,,,,,,,,
UNIT,A2_MINUS_A0,macro_f1,source_seed_46_split_seed_71,46,71,0.09890583862684667,0.9834423832059347,0.884536544579088,,,,,,,,,,,,
SUMMARY,A2_MINUS_A0,macro_f1,,,,,,,0.8720563199934936,0.016284796569628862,0.8796679255116749,0.8290258393111959,0.8917133525048745,25,0,0,0.8574425852968857,0.8846019446265003,10000,20260729
UNIT,A2_MINUS_A0,accuracy,source_seed_42_split_seed_11,42,11,0.17363344051446947,0.9823151125401929,0.8086816720257234,,,,,,,,,,,,
UNIT,A2_MINUS_A0,accuracy,source_seed_42_split_seed_23,42,23,0.1746987951807229,0.9859437751004017,0.8112449799196788,,,,,,,,,,,,
UNIT,A2_MINUS_A0,accuracy,source_seed_42_split_seed_37,42,37,0.176777822418642,0.9887505022097228,0.8119726797910808,,,,,,,,,,,,
UNIT,A2_MINUS_A0,accuracy,source_seed_42_split_seed_53,42,53,0.1752411575562701,0.9867363344051447,0.8114951768488746,,,,,,,,,,,,
UNIT,A2_MINUS_A0,accuracy,source_seed_42_split_seed_71,42,71,0.17412333736396615,0.9907295445384925,0.8166062071745264,,,,,,,,,,,,
UNIT,A2_MINUS_A0,accuracy,source_seed_43_split_seed_11,43,11,0.12098070739549839,0.9859324758842444,0.864951768488746,,,,,,,,,,,,
UNIT,A2_MINUS_A0,accuracy,source_seed_43_split_seed_23,43,23,0.12008032128514057,0.9815261044176706,0.8614457831325301,,,,,,,,,,,,
UNIT,A2_MINUS_A0,accuracy,source_seed_43_split_seed_37,43,37,0.12213740458015267,0.9807151466452391,0.8585777420650864,,,,,,,,,,,,
UNIT,A2_MINUS_A0,accuracy,source_seed_43_split_seed_53,43,53,0.11856913183279742,0.9863344051446945,0.8677652733118971,,,,,,,,,,,,
UNIT,A2_MINUS_A0,accuracy,source_seed_43_split_seed_71,43,71,0.12051592099959693,0.9766223297057638,0.8561064087061668,,,,,,,,,,,,
UNIT,A2_MINUS_A0,accuracy,source_seed_44_split_seed_11,44,11,0.12861736334405144,0.987540192926045,0.8589228295819935,,,,,,,,,,,,
UNIT,A2_MINUS_A0,accuracy,source_seed_44_split_seed_23,44,23,0.12891566265060242,0.9827309236947791,0.8538152610441767,,,,,,,,,,,,
UNIT,A2_MINUS_A0,accuracy,source_seed_44_split_seed_37,44,37,0.1305745279228606,0.9815186822016875,0.8509441542788269,,,,,,,,,,,,
UNIT,A2_MINUS_A0,accuracy,source_seed_44_split_seed_53,44,53,0.1290192926045016,0.9803054662379421,0.8512861736334405,,,,,,,,,,,,
UNIT,A2_MINUS_A0,accuracy,source_seed_44_split_seed_71,44,71,0.1293833131801693,0.98105602579605,0.8516727126158807,,,,,,,,,,,,
UNIT,A2_MINUS_A0,accuracy,source_seed_45_split_seed_11,45,11,0.14469453376205788,0.9843247588424437,0.8396302250803859,,,,,,,,,,,,
UNIT,A2_MINUS_A0,accuracy,source_seed_45_split_seed_23,45,23,0.14538152610441768,0.9618473895582329,0.8164658634538152,,,,,,,,,,,,
UNIT,A2_MINUS_A0,accuracy,source_seed_45_split_seed_37,45,37,0.14865407794294896,0.9863398955403777,0.8376858175974288,,,,,,,,,,,,
UNIT,A2_MINUS_A0,accuracy,source_seed_45_split_seed_53,45,53,0.14469453376205788,0.9847266881028939,0.840032154340836,,,,,,,,,,,,
UNIT,A2_MINUS_A0,accuracy,source_seed_45_split_seed_71,45,71,0.1487303506650544,0.9866989117291415,0.837968561064087,,,,,,,,,,,,
