unit_id,source_seed,p4_split_seed,arm,method,class_index,precision,recall,f1,support
source_seed_42_split_seed_23,42,23,A2_PROTOTYPE_BLEND_SELECTED,SOURCE_TARGET_PROTOTYPE_BLEND:alpha=1,3,0.36363636363636365,0.0676056338028169,0.11401425178147268,355
source_seed_42_split_seed_23,42,23,A2_PROTOTYPE_BLEND_SELECTED,SOURCE_TARGET_PROTOTYPE_BLEND:alpha=1,4,0.5607476635514018,0.5070422535211268,0.5325443786982249,355
source_seed_42_split_seed_23,42,23,A2_PROTOTYPE_BLEND_SELECTED,SOURCE_TARGET_PROTOTYPE_BLEND:alpha=1,5,0.35714285714285715,0.7724719101123596,0.48845470692717585,356
source_seed_42_split_seed_23,42,23,A2_PROTOTYPE_BLEND_SELECTED,SOURCE_TARGET_PROTOTYPE_BLEND:alpha=1,6,0.4131578947368421,0.4410112359550562,0.4266304347826087,356
source_seed_42_split_seed_23,42,23,A2_LINEAR_PROBE_SELECTED,FROZEN_ENCODER_MULTINOMIAL_LINEAR_PROBE:C=10,0,0.9886685552407932,0.9858757062146892,0.9872701555869873,354
source_seed_42_split_seed_23,42,23,A2_LINEAR_PROBE_SELECTED,FROZEN_ENCODER_MULTINOMIAL_LINEAR_PROBE:C=10,1,0.9640883977900553,0.9775910364145658,0.9707927677329624,357
source_seed_42_split_seed_23,42,23,A2_LINEAR_PROBE_SELECTED,FROZEN_ENCODER_MULTINOMIAL_LINEAR_PROBE:C=10,2,0.9833333333333333,0.9915966386554622,0.9874476987447698,357
source_seed_42_split_seed_23,42,23,A2_LINEAR_PROBE_SELECTED,FROZEN_ENCODER_MULTINOMIAL_LINEAR_PROBE:C=10,3,0.9858757062146892,0.9830985915492958,0.9844851904090268,355
source_seed_42_split_seed_23,42,23,A2_LINEAR_PROBE_SELECTED,FROZEN_ENCODER_MULTINOMIAL_LINEAR_PROBE:C=10,4,0.9804469273743017,0.9887323943661972,0.9845722300140253,355
source_seed_42_split_seed_23,42,23,A2_LINEAR_PROBE_SELECTED,FROZEN_ENCODER_MULTINOMIAL_LINEAR_PROBE:C=10,5,1.0,0.9775280898876404,0.9886363636363636,356
source_seed_42_split_seed_23,42,23,A2_LINEAR_PROBE_SELECTED,FROZEN_ENCODER_MULTINOMIAL_LINEAR_PROBE:C=10,6,1.0,0.9971910112359551,0.9985935302390998,356
source_seed_42_split_seed_23,42,23,A2_FINAL_SELECTED,FROZEN_ENCODER_MULTINOMIAL_LINEAR_PROBE:C=10,0,0.9886685552407932,0.9858757062146892,0.9872701555869873,354
source_seed_42_split_seed_23,42,23,A2_FINAL_SELECTED,FROZEN_ENCODER_MULTINOMIAL_LINEAR_PROBE:C=10,1,0.9640883977900553,0.9775910364145658,0.9707927677329624,357
source_seed_42_split_seed_23,42,23,A2_FINAL_SELECTED,FROZEN_ENCODER_MULTINOMIAL_LINEAR_PROBE:C=10,2,0.9833333333333333,0.9915966386554622,0.9874476987447698,357
source_seed_42_split_seed_23,42,23,A2_FINAL_SELECTED,FROZEN_ENCODER_MULTINOMIAL_LINEAR_PROBE:C=10,3,0.9858757062146892,0.9830985915492958,0.9844851904090268,355
source_seed_42_split_seed_23,42,23,A2_FINAL_SELECTED,FROZEN_ENCODER_MULTINOMIAL_LINEAR_PROBE:C=10,4,0.9804469273743017,0.9887323943661972,0.9845722300140253,355
source_seed_42_split_seed_23,42,23,A2_FINAL_SELECTED,FROZEN_ENCODER_MULTINOMIAL_LINEAR_PROBE:C=10,5,1.0,0.9775280898876404,0.9886363636363636,356
source_seed_42_split_seed_23,42,23,A2_FINAL_SELECTED,FROZEN_ENCODER_MULTINOMIAL_LINEAR_PROBE:C=10,6,1.0,0.9971910112359551,0.9985935302390998,356
source_seed_42_split_seed_37,42,37,A0_MATCHED_SOURCE_ONLY_CONTROL,LEARNED_SOURCE_HEAD,0,0.16561514195583596,0.29577464788732394,0.21233569261880686,355
source_seed_42_split_seed_37,42,37,A0_MATCHED_SOURCE_ONLY_CONTROL,LEARNED_SOURCE_HEAD,1,0.2831541218637993,0.6676056338028169,0.3976510067114094,355
source_seed_42_split_seed_37,42,37,A0_MATCHED_SOURCE_ONLY_CONTROL,LEARNED_SOURCE_HEAD,2,0.0,0.0,0.0,357
source_seed_42_split_seed_37,42,37,A0_MATCHED_SOURCE_ONLY_CONTROL,LEARNED_SOURCE_HEAD,3,0.07464607464607464,0.16292134831460675,0.10238305383936451,356
source_seed_42_split_seed_37,42,37,A0_MATCHED_SOURCE_ONLY_CONTROL,LEARNED_SOURCE_HEAD,4,0.0,0.0,0.0,355
source_seed_42_split_seed_37,42,37,A0_MATCHED_SOURCE_ONLY_CONTROL,LEARNED_SOURCE_HEAD,5,0.0,0.0,0.0,355
source_seed_42_split_seed_37,42,37,A0_MATCHED_SOURCE_ONLY_CONTROL,LEARNED_SOURCE_HEAD,6,0.35398230088495575,0.11235955056179775,0.17057569296375266,356
source_seed_42_split_seed_37,42,37,A1_MATCHED_TARGET_INFORMED_SELECTION,LEARNED_SOURCE_HEAD,0,0.16561514195583596,0.29577464788732394,0.21233569261880686,355
source_seed_42_split_seed_37,42,37,A1_MATCHED_TARGET_INFORMED_SELECTION,LEARNED_SOURCE_HEAD,1,0.2831541218637993,0.6676056338028169,0.3976510067114094,355
source_seed_42_split_seed_37,42,37,A1_MATCHED_TARGET_INFORMED_SELECTION,LEARNED_SOURCE_HEAD,2,0.0,0.0,0.0,357
source_seed_42_split_seed_37,42,37,A1_MATCHED_TARGET_INFORMED_SELECTION,LEARNED_SOURCE_HEAD,3,0.07464607464607464,0.16292134831460675,0.10238305383936451,356
source_seed_42_split_seed_37,42,37,A1_MATCHED_TARGET_INFORMED_SELECTION,LEARNED_SOURCE_HEAD,4,0.0,0.0,0.0,355
source_seed_42_split_seed_37,42,37,A1_MATCHED_TARGET_INFORMED_SELECTION,LEARNED_SOURCE_HEAD,5,0.0,0.0,0.0,355
source_seed_42_split_seed_37,42,37,A1_MATCHED_TARGET_INFORMED_SELECTION,LEARNED_SOURCE_HEAD,6,0.35398230088495575,0.11235955056179775,0.17057569296375266,356
source_seed_42_split_seed_37,42,37,A2_PROTOTYPE_BLEND_SELECTED,SOURCE_TARGET_PROTOTYPE_BLEND:alpha=1,0,0.639344262295082,0.21971830985915494,0.3270440251572327,355
source_seed_42_split_seed_37,42,37,A2_PROTOTYPE_BLEND_SELECTED,SOURCE_TARGET_PROTOTYPE_BLEND:alpha=1,1,0.30859375,0.22253521126760564,0.25859247135842883,355
source_seed_42_split_seed_37,42,37,A2_PROTOTYPE_BLEND_SELECTED,SOURCE_TARGET_PROTOTYPE_BLEND:alpha=1,2,0.3790322580645161,0.6582633053221288,0.481064483111566,357
source_seed_42_split_seed_37,42,37,A2_PROTOTYPE_BLEND_SELECTED,SOURCE_TARGET_PROTOTYPE_BLEND:alpha=1,3,0.875,0.05898876404494382,0.1105263157894737,356
source_seed_42_split_seed_37,42,37,A2_PROTOTYPE_BLEND_SELECTED,SOURCE_TARGET_PROTOTYPE_BLEND:alpha=1,4,0.6052631578947368,0.5183098591549296,0.558421851289833,355
source_seed_42_split_seed_37,42,37,A2_PROTOTYPE_BLEND_SELECTED,SOURCE_TARGET_PROTOTYPE_BLEND:alpha=1,5,0.4023136246786632,0.8816901408450705,0.5525154457193292,355
source_seed_42_split_seed_37,42,37,A2_PROTOTYPE_BLEND_SELECTED,SOURCE_TARGET_PROTOTYPE_BLEND:alpha=1,6,0.612987012987013,0.6629213483146067,0.6369770580296896,356
source_seed_42_split_seed_37,42,37,A2_LINEAR_PROBE_SELECTED,FROZEN_ENCODER_MULTINOMIAL_LINEAR_PROBE:C=10,0,1.0,0.9943661971830986,0.9971751412429378,355
