run_id,arm,lambda_max,fold,seed,accuracy,macro_f1,scope
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.10-S1-S46,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.1,S1,46,0.2842857142857143,0.2808776189464509,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.10-S2-S42,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.1,S2,42,0.29904761904761906,0.2745130997566424,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.10-S2-S43,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.1,S2,43,0.2838095238095238,0.2638345653410879,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.10-S2-S44,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.1,S2,44,0.29333333333333333,0.2693163816962693,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.10-S2-S45,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.1,S2,45,0.28714285714285714,0.27825215704098627,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.10-S2-S46,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.1,S2,46,0.26476190476190475,0.2658259317171007,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.10-S3-S42,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.1,S3,42,0.31,0.2663769073692026,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.10-S3-S43,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.1,S3,43,0.26476190476190475,0.26748998231915716,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.10-S3-S44,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.1,S3,44,0.26476190476190475,0.2584244284797047,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.10-S3-S45,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.1,S3,45,0.32666666666666666,0.2922325494631468,FAMILIAR_SOURCE_INNER_VALIDATION
