run_id,arm,lambda_max,fold,seed,held_position,outer_held_lopo_accuracy,outer_held_lopo_macro_f1,seven_class_chance_reference,selection_use
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.10-S1-S43,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.1,S1,43,P1,0.18698412698412697,0.10462810227134375,0.14285714285714285,DIAGNOSTIC_ONLY
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.10-S1-S44,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.1,S1,44,P1,0.22031746031746033,0.14646963508331265,0.14285714285714285,DIAGNOSTIC_ONLY
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.10-S1-S45,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.1,S1,45,P1,0.35079365079365077,0.2884049692258496,0.14285714285714285,DIAGNOSTIC_ONLY
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.10-S1-S46,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.1,S1,46,P1,0.1726984126984127,0.08393971051242055,0.14285714285714285,DIAGNOSTIC_ONLY
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.10-S2-S42,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.1,S2,42,P2,0.22253968253968254,0.2129921766914167,0.14285714285714285,DIAGNOSTIC_ONLY
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.10-S2-S43,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.1,S2,43,P2,0.17492063492063492,0.16184863535581387,0.14285714285714285,DIAGNOSTIC_ONLY
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.10-S2-S44,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.1,S2,44,P2,0.23238095238095238,0.2143779910679316,0.14285714285714285,DIAGNOSTIC_ONLY
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.10-S2-S45,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.1,S2,45,P2,0.17492063492063492,0.1422910883958857,0.14285714285714285,DIAGNOSTIC_ONLY
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.10-S2-S46,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.1,S2,46,P2,0.18857142857142858,0.17620512077747513,0.14285714285714285,DIAGNOSTIC_ONLY
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.10-S3-S42,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.1,S3,42,P3,0.20095238095238097,0.13429909485167194,0.14285714285714285,DIAGNOSTIC_ONLY
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.10-S3-S43,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.1,S3,43,P3,0.16253968253968254,0.10149509895406576,0.14285714285714285,DIAGNOSTIC_ONLY
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.10-S3-S44,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.1,S3,44,P3,0.20603174603174604,0.1232535353859296,0.14285714285714285,DIAGNOSTIC_ONLY
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.10-S3-S45,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.1,S3,45,P3,0.22253968253968254,0.1189321200704834,0.14285714285714285,DIAGNOSTIC_ONLY
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.10-S3-S46,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.1,S3,46,P3,0.18222222222222223,0.13858647922425305,0.14285714285714285,DIAGNOSTIC_ONLY
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.30-S1-S42,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.3,S1,42,P1,0.22126984126984128,0.15443324609258813,0.14285714285714285,DIAGNOSTIC_ONLY
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.30-S1-S43,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.3,S1,43,P1,0.22095238095238096,0.15277868367445363,0.14285714285714285,DIAGNOSTIC_ONLY
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.30-S1-S44,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.3,S1,44,P1,0.23174603174603176,0.17158579092274454,0.14285714285714285,DIAGNOSTIC_ONLY
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.30-S1-S45,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.3,S1,45,P1,0.21746031746031746,0.1545766821964312,0.14285714285714285,DIAGNOSTIC_ONLY
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.30-S1-S46,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.3,S1,46,P1,0.23555555555555555,0.1877443845763831,0.14285714285714285,DIAGNOSTIC_ONLY
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.30-S2-S42,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.3,S2,42,P2,0.206984126984127,0.21493774141101665,0.14285714285714285,DIAGNOSTIC_ONLY
