dataset,arm,seed,class_index,f1,precision,recall
P4,ARM_A2_DANN_NEGATIVE_MATCHED,44,1,0.17434210526315788,0.13838120104438642,0.23555555555555555
P4,ARM_A2_DANN_NEGATIVE_MATCHED,44,2,0.0,0.0,0.0
P4,ARM_A2_DANN_NEGATIVE_MATCHED,44,3,0.1660336408030385,0.10983488872936109,0.34
P4,ARM_A2_DANN_NEGATIVE_MATCHED,44,4,0.1773049645390071,0.14749262536873156,0.2222222222222222
P4,ARM_A2_DANN_NEGATIVE_MATCHED,44,5,0.0,0.0,0.0
P4,ARM_A2_DANN_NEGATIVE_MATCHED,44,6,0.1746880570409982,0.44144144144144143,0.10888888888888888
P4,ARM_A2_DANN_NEGATIVE_MATCHED,45,0,0.0,0.0,0.0
P4,ARM_A2_DANN_NEGATIVE_MATCHED,45,1,0.33116883116883117,0.3227848101265823,0.34
P4,ARM_A2_DANN_NEGATIVE_MATCHED,45,2,0.0,0.0,0.0
P4,ARM_A2_DANN_NEGATIVE_MATCHED,45,3,0.18140589569160998,0.1092896174863388,0.5333333333333333
P4,ARM_A2_DANN_NEGATIVE_MATCHED,45,4,0.0,0.0,0.0
P4,ARM_A2_DANN_NEGATIVE_MATCHED,45,5,0.0,0.0,0.0
P4,ARM_A2_DANN_NEGATIVE_MATCHED,45,6,0.16360601001669448,0.3288590604026846,0.10888888888888888
P4,ARM_A2_DANN_NEGATIVE_MATCHED,46,0,0.10460251046025106,0.09881422924901186,0.1111111111111111
P4,ARM_A2_DANN_NEGATIVE_MATCHED,46,1,0.0,0.0,0.0
P4,ARM_A2_DANN_NEGATIVE_MATCHED,46,2,0.1400560224089636,0.1893939393939394,0.1111111111111111
P4,ARM_A2_DANN_NEGATIVE_MATCHED,46,3,0.16360776088096488,0.10706932052161977,0.3466666666666667
P4,ARM_A2_DANN_NEGATIVE_MATCHED,46,4,0.12484394506866417,0.14245014245014245,0.1111111111111111
P4,ARM_A2_DANN_NEGATIVE_MATCHED,46,5,0.14684287812041114,0.21645021645021645,0.1111111111111111
P4,ARM_A2_DANN_NEGATIVE_MATCHED,46,6,0.1264222503160556,0.1466275659824047,0.1111111111111111
