run_id,arm,lambda_max,fold,seed,tagid_probe_macro_f1,chance_reference,probe_train,probe_test
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.10-S2-S43,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.1,S2,43,0.19774699623439118,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.10-S2-S44,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.1,S2,44,0.24099868385582673,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.10-S2-S45,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.1,S2,45,0.22006295292009578,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.10-S2-S46,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.1,S2,46,0.26285666714238143,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.10-S3-S42,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.1,S3,42,0.18670213073574418,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.10-S3-S43,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.1,S3,43,0.22414823271966128,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.10-S3-S44,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.1,S3,44,0.19993793321524414,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.10-S3-S45,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.1,S3,45,0.2703435453435453,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.10-S3-S46,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.1,S3,46,0.2389397903683618,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.30-S1-S42,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.3,S1,42,0.2687213580070723,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.30-S1-S43,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.3,S1,43,0.22865055579341295,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.30-S1-S44,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.3,S1,44,0.24114948543519973,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.30-S1-S45,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.3,S1,45,0.15685742828599972,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.30-S1-S46,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.3,S1,46,0.17576043004614433,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.30-S2-S42,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.3,S2,42,0.17506144649001792,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.30-S2-S43,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.3,S2,43,0.18765685859670822,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.30-S2-S44,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.3,S2,44,0.20228454085596942,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.30-S2-S45,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.3,S2,45,0.2587108922823208,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.30-S2-S46,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.3,S2,46,0.21441606013034584,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.30-S3-S42,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.3,S3,42,0.19445475159760878,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.30-S3-S43,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.3,S3,43,0.20213691070833928,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.30-S3-S44,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.3,S3,44,0.16669160904455022,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.30-S3-S45,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.3,S3,45,0.2789294039294039,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.30-S3-S46,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.3,S3,46,0.26742035742035747,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L1.00-S1-S42,ARM_A1_DOMAIN_POSITIVE_MATCHED,1.0,S1,42,0.26263450834879404,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L1.00-S1-S43,ARM_A1_DOMAIN_POSITIVE_MATCHED,1.0,S1,43,0.211143142571714,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L1.00-S1-S44,ARM_A1_DOMAIN_POSITIVE_MATCHED,1.0,S1,44,0.21921181992610564,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L1.00-S1-S45,ARM_A1_DOMAIN_POSITIVE_MATCHED,1.0,S1,45,0.24399433433046877,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L1.00-S1-S46,ARM_A1_DOMAIN_POSITIVE_MATCHED,1.0,S1,46,0.2539493979409945,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L1.00-S2-S42,ARM_A1_DOMAIN_POSITIVE_MATCHED,1.0,S2,42,0.18628408006559266,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L1.00-S2-S43,ARM_A1_DOMAIN_POSITIVE_MATCHED,1.0,S2,43,0.18705446747463553,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L1.00-S2-S44,ARM_A1_DOMAIN_POSITIVE_MATCHED,1.0,S2,44,0.24915084915084917,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L1.00-S2-S45,ARM_A1_DOMAIN_POSITIVE_MATCHED,1.0,S2,45,0.2411312497026783,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L1.00-S2-S46,ARM_A1_DOMAIN_POSITIVE_MATCHED,1.0,S2,46,0.28113505542076966,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L1.00-S3-S42,ARM_A1_DOMAIN_POSITIVE_MATCHED,1.0,S3,42,0.18166595309452455,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L1.00-S3-S43,ARM_A1_DOMAIN_POSITIVE_MATCHED,1.0,S3,43,0.2670662670662671,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L1.00-S3-S44,ARM_A1_DOMAIN_POSITIVE_MATCHED,1.0,S3,44,0.22294704361931256,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L1.00-S3-S45,ARM_A1_DOMAIN_POSITIVE_MATCHED,1.0,S3,45,0.27201504844361984,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L1.00-S3-S46,ARM_A1_DOMAIN_POSITIVE_MATCHED,1.0,S3,46,0.2538245554632109,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A2_DANN_NEGATIVE_MATCHED-L0.01-S1-S42,ARM_A2_DANN_NEGATIVE_MATCHED,0.01,S1,42,0.23997906855049714,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A2_DANN_NEGATIVE_MATCHED-L0.01-S1-S43,ARM_A2_DANN_NEGATIVE_MATCHED,0.01,S1,43,0.1761790590362019,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A2_DANN_NEGATIVE_MATCHED-L0.01-S1-S44,ARM_A2_DANN_NEGATIVE_MATCHED,0.01,S1,44,0.2531573188716046,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A2_DANN_NEGATIVE_MATCHED-L0.01-S1-S45,ARM_A2_DANN_NEGATIVE_MATCHED,0.01,S1,45,0.2063128934557506,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A2_DANN_NEGATIVE_MATCHED-L0.01-S1-S46,ARM_A2_DANN_NEGATIVE_MATCHED,0.01,S1,46,0.2320755435041149,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A2_DANN_NEGATIVE_MATCHED-L0.01-S2-S42,ARM_A2_DANN_NEGATIVE_MATCHED,0.01,S2,42,0.2507777936349365,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A2_DANN_NEGATIVE_MATCHED-L0.01-S2-S43,ARM_A2_DANN_NEGATIVE_MATCHED,0.01,S2,43,0.20244177857623233,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A2_DANN_NEGATIVE_MATCHED-L0.01-S2-S44,ARM_A2_DANN_NEGATIVE_MATCHED,0.01,S2,44,0.19599416456559313,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A2_DANN_NEGATIVE_MATCHED-L0.01-S2-S45,ARM_A2_DANN_NEGATIVE_MATCHED,0.01,S2,45,0.2528852893138608,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A2_DANN_NEGATIVE_MATCHED-L0.01-S2-S46,ARM_A2_DANN_NEGATIVE_MATCHED,0.01,S2,46,0.2066229009086152,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A2_DANN_NEGATIVE_MATCHED-L0.01-S3-S42,ARM_A2_DANN_NEGATIVE_MATCHED,0.01,S3,42,0.19236572950858663,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
DANNV2-DEV-ARM_A2_DANN_NEGATIVE_MATCHED-L0.01-S3-S43,ARM_A2_DANN_NEGATIVE_MATCHED,0.01,S3,43,0.22419707276850137,0.14285714285714285,inner_train_condition_centroids,inner_validation_condition_centroids
