contrast,lambda_max,endpoint,point_estimate,lower_95,upper_95,paired_unit,unit_contrasts,replicates,rng_seed,contrast_specific_seed_offset
A2-A0,0.3,position_probe_macro_f1,0.0003724324327702977,-0.010629302181825295,0.012071648478690045,fold_x_seed,"[-0.00938827857716118,-0.018993451245294724,0.004813519813519962,0.028555222429300753,0.009507603381681662,-0.02379601869108383,-0.014342546279585311,0.014353313542196044,0.0,-0.009475117433143443,-0.029132099468028305,0.009783993343267405,0.03874196868620117,0.04023638876815172,-0.035278011778467455]",10000,20260809,False
A2-A0,0.3,tagid_probe_macro_f1,-0.021070014412340805,-0.036184673653946085,-0.005107895893400066,fold_x_seed,"[-0.04869241869241872,-0.049188906331763455,-0.049321640077942625,-0.028693211550354397,0.01325499896928467,-0.05884448884448887,0.04329210472067621,0.024257647114790032,-0.03411202243135014,-0.06164740021882878,-0.03210023059647121,0.0006771006771006671,-0.026020804592233132,0.010136530136530097,-0.01904747446764249]",10000,20260809,False
A2-A1,0.3,familiar_validation_macro_f1,0.017620721007962185,-0.0013975703317094705,0.03921308605327752,fold_x_seed,"[0.005637585967405323,-0.01276592935847956,-0.0019078915653341633,-0.018122151534168934,-0.03609549792733144,-0.032585104757069605,0.11544173668337099,0.05611272113080612,0.0057152304630222195,0.028295773074435038,0.05020718110965952,0.023288167202149213,0.0035180011617057805,0.002023671442057229,0.07554732202720507]",10000,20260809,False
A2-A1,0.3,position_probe_macro_f1,-0.012627729291600527,-0.025453258782175196,0.0023947037574166352,fold_x_seed,"[-0.014201798390681142,-0.018993451245294724,0.0,0.014337107400068216,-0.02849561574745929,-0.02379601869108383,-0.019107152065178212,0.0,0.02382302892796384,-0.01903681495286691,-0.058068913034588054,-0.028473897061531694,-0.04286524592820684,0.05876198871446359,-0.03329915729961286]",10000,20260809,False
A2-A1,0.3,tagid_probe_macro_f1,-0.0012325441361266214,-0.022052824525712635,0.01852812878924115,fold_x_seed,"[-0.07741647241647245,-0.03192601049743907,-0.06300842947901775,0.021182944040086915,0.058710495853353,0.0066468452182737725,0.044247045155935055,0.039744858316286935,-0.028317634746206133,-0.011801531801531817,-0.048749930103313605,0.016368076368076384,0.05547971169819915,0.006446886446886402,-0.006095016095016115]",10000,20260809,False
A1-A0,1.0,familiar_validation_macro_f1,0.012197176613707212,0.0003723601211364924,0.0235479982811903,fold_x_seed,"[-0.007165075503468621,0.037251791559923864,0.026586607522366024,0.044177156634637255,0.0002403727773421238,0.02336547477226164,0.009465004970200364,0.012513304212568632,-0.03709470118156882,-0.009341694911565335,-0.016664606323585684,0.049210217917982635,0.032479688989713235,0.0071871268009044975,0.010746980967896391]",10000,20260809,False
A1-A0,1.0,position_probe_macro_f1,0.013365101569563099,0.0029288859869897373,0.02390144381311785,fold_x_seed,"[0.004813519813519962,0.0,0.004813519813519962,0.01896647784055605,0.057126614168588,0.0,0.0,0.038149332233279876,-0.02858223266618043,0.009561697519723467,-0.004263393927464887,0.047965774692944496,0.024496769755806502,0.009610983981693244,0.017817460317460232]",10000,20260809,False
A1-A0,1.0,tagid_probe_macro_f1,0.0011162419901915707,-0.013656014192778898,0.015635519203796504,fold_x_seed,"[0.022637204065775463,-0.03477030905602335,-0.008250876108018973,0.03726075045402774,0.03273347101078186,-0.054268700487187904,-0.0015573315573315372,0.03137909709338285,-0.023374030264786516,0.016873126873126865,0.0038609010037581604,0.04923838066695213,-0.025245081715669943,-0.003224711796140367,-0.02654826032977292]",10000,20260809,False
A2-A0,1.0,familiar_validation_macro_f1,-0.047901316652485655,-0.07651921843108439,-0.019126091202320648,fold_x_seed,"[-0.002875463953352475,-0.04165769734857094,-0.08796844467540704,-0.015793988719743468,-0.007350423157790387,-0.11516033630759612,-0.13461427925963637,-0.06591294596166963,-0.05917862739877677,-0.149784405297805,-0.03512354953347674,0.0840840334965941,-0.0001456557079088927,-0.054696490941642556,-0.03234147502050261]",10000,20260809,False
A2-A0,1.0,position_probe_macro_f1,0.017650489764043265,-0.00064691359072981,0.03634722852667133,fold_x_seed,"[0.04777618675519979,-0.014201798390681142,0.01444015239817864,0.019015206763363324,-0.033384652783404856,0.02382302892796384,-0.00951840747643351,0.061972361161243716,-0.04767314175708959,-0.014255929360864172,0.019786962975983147,0.07641806356497216,0.005411336376555886,0.040333736117342256,0.07481424118831947]",10000,20260809,False
A2-A0,1.0,tagid_probe_macro_f1,-0.036191659291615046,-0.06482339174372566,-0.0033547762940288684,fold_x_seed,"[-0.07109132230980969,0.014176444470562127,-0.12416527916527915,-0.009813557124481453,-0.12282939282939286,-0.0819249098240695,-0.012714433338051195,-0.051904206904206884,-0.059755832402891174,-0.03460666317809172,0.14133295276152416,-0.04026402169259313,0.011180127062479978,-0.04826241010451529,-0.05223238479540998]",10000,20260809,False
