position,fold,seed,stage,epoch,train_total_loss,train_cross_entropy,train_coral,inner_validation_accuracy,inner_validation_macro_f1,improved,epochs_without_improvement
P1,1,43,outer_refit,2,1.9044972560519264,1.9044972560519264,0.0,,,,
P1,1,43,outer_refit,3,1.8551319045112247,1.8551319045112247,0.0,,,,
P1,1,43,outer_refit,4,1.7681875124431792,1.7681875124431792,0.0,,,,
P1,1,43,outer_refit,5,1.657992709023612,1.657992709023612,0.0,,,,
P1,1,43,outer_refit,6,1.5371325134095692,1.5371325134095692,0.0,,,,
P1,1,44,inner_selection,1,2.0284369502748762,2.0284369502748762,0.0,0.20857142857142857,0.09059060390779519,True,0
P1,1,44,inner_selection,2,1.9220826407841274,1.9220826407841274,0.0,0.21428571428571427,0.13863115221292346,True,0
P1,1,44,inner_selection,3,1.852543294770377,1.852543294770377,0.0,0.14142857142857143,0.05291398327286716,False,1
P1,1,44,inner_selection,4,1.7956254366465978,1.7956254366465978,0.0,0.21428571428571427,0.14285714285714285,True,0
P1,1,44,inner_selection,5,1.7156085743222917,1.7156085743222917,0.0,0.1442857142857143,0.10495500482750164,False,1
P1,1,44,inner_selection,6,1.6203805691855295,1.6203805691855295,0.0,0.14285714285714285,0.05194805194805195,False,2
P1,1,44,inner_selection,7,1.5077942487171718,1.5077942487171718,0.0,0.2857142857142857,0.22380952380952382,True,0
P1,1,44,inner_selection,8,1.3730624948229109,1.3730624948229109,0.0,0.07142857142857142,0.03571428571428571,False,1
P1,1,44,inner_selection,9,1.2627946771894183,1.2627946771894183,0.0,0.35714285714285715,0.31904761904761897,True,0
P1,1,44,inner_selection,10,1.1238326277051653,1.1238326277051653,0.0,0.14285714285714285,0.1034631504051776,False,1
P1,1,44,inner_selection,11,0.9926582074165344,0.9926582074165344,0.0,0.21428571428571427,0.14718614718614717,False,2
P1,1,44,inner_selection,12,0.8722156633649554,0.8722156633649554,0.0,0.14285714285714285,0.14285714285714285,False,3
P1,1,44,inner_selection,13,0.7564808150700161,0.7564808150700161,0.0,0.14285714285714285,0.08163265306122448,False,4
P1,1,44,inner_selection,14,0.6472376407895769,0.6472376407895769,0.0,0.2857142857142857,0.25,False,5
P1,1,44,inner_selection,15,0.583498889037541,0.583498889037541,0.0,0.35714285714285715,0.2928571428571428,False,6
P1,1,44,inner_selection,16,0.4935318183898926,0.4935318183898926,0.0,0.3514285714285714,0.2985918390726665,False,7
P1,1,44,inner_selection,17,0.4349363822596414,0.4349363822596414,0.0,0.35714285714285715,0.30013467315860354,False,8
P1,1,44,outer_refit,1,1.9978943241210212,1.9978943241210212,0.0,,,,
P1,1,44,outer_refit,2,1.9039213212331136,1.9039213212331136,0.0,,,,
P1,1,44,outer_refit,3,1.8228553217933292,1.8228553217933292,0.0,,,,
P1,1,44,outer_refit,4,1.7124395529429117,1.7124395529429117,0.0,,,,
P1,1,44,outer_refit,5,1.573815522420974,1.573815522420974,0.0,,,,
P1,1,44,outer_refit,6,1.4502046117328462,1.4502046117328462,0.0,,,,
P1,1,44,outer_refit,7,1.2921613843100412,1.2921613843100412,0.0,,,,
