method,lambda_max,fold,held_position,seed,selected_epoch,epochs_executed,model_state_sha256,p4_used
DANN,0.3,S3,P3,45,12,20,bf79f7ee2bb924c1b4b3c076133f89a2a1e8c83a54c0cff18e0857ecaf65efe6,False
DANN,0.3,S3,P3,46,15,23,458de4eca6391aa05e05a6bda932b34fed49a26e071cc78f8b42852a0da130f0,False
DANN,1.0,S1,P1,42,6,14,89d1529280a288fea5fd4d662a53f955847578ed3b49a8b067e65d84f9cd0e17,False
DANN,1.0,S1,P1,43,2,10,7013e5a63a8892ad509eb79a93909de82851d2687470b0538599df1e721836e6,False
DANN,1.0,S1,P1,44,7,15,5c66b028de1f4ac4e25be23d0c4f507a5264765bbdd2f29105514b4e7b242bb8,False
DANN,1.0,S1,P1,45,2,10,8cd2eb55cfc72730260a9b1e0d1b092e448ee9ea39b936fe908087c3e9565a4c,False
DANN,1.0,S1,P1,46,6,14,830aaa347735079349763d6185039c18264f5a29853f1a42f4e8516ab29b726e,False
DANN,1.0,S2,P2,42,10,18,68e853c7c6ce20307ddd28ef86f707a4a4b587165612725f6205613937c2b3b3,False
DANN,1.0,S2,P2,43,3,11,0933109c9c39ecd2ec01e075a772030456f0684d41982922c8cbf536884aae58,False
DANN,1.0,S2,P2,44,5,13,777ccc5fea790a0556d0fcd1635eaac22c5a83780ecf2b186b881f88a29efdd2,False
DANN,1.0,S2,P2,45,9,17,9783baf4f7d103c427429a620ec1f750124e000fa3f9f5609bdd562673628e95,False
DANN,1.0,S2,P2,46,3,11,9cb83ecba6f005c4dd234d61c06672e8b22b7ff372a142a6a3743008b44ce6e8,False
DANN,1.0,S3,P3,42,9,17,385290deaa08ee4110d70ab43afaf42f4e9c3c0e84b6c097898813c17ebbaec4,False
DANN,1.0,S3,P3,43,10,18,bd67dcec19e1f719fcf50516c4abeaf968ec2433575399b4d11ce0e30852d13b,False
DANN,1.0,S3,P3,44,2,10,c935f732a213afe4578f567c7d19d2278681b675f3cfeaaa25f56131f4de84d9,False
DANN,1.0,S3,P3,45,5,13,6fb83152c269c9ae4c13d8d5bed8ddd50fd4a92283dfa9da332ca99e5f59c30e,False
DANN,1.0,S3,P3,46,12,20,781309b4dd56523dafb17db8c72647776e2f516e6825959aa4b1e8cea66d8bbe,False
