method,lambda_max,fold,seed,tagid_probe_macro_f1,position_silhouette,tagid_silhouette,embedding_norm_mean,within_class_cross_position_distance,between_class_distance,position_vs_tagid_separability_ratio,domain_head_train_accuracy,domain_head_validation_accuracy
DANN,0.1,S1,43,1.0,0.017829212389045182,0.2883247943679381,8.080540954766738,2.247823027328265,3.535265040480889,0.6422223061995844,0.5812698412698413,0.5
DANN,0.1,S1,44,1.0,0.016062090511361655,0.30646680531198234,8.253713533586172,2.1502121862119337,3.4903523992078016,0.6220387238135786,0.5,0.7857142857142857
DANN,0.1,S1,45,0.9952047952047952,0.04095430008518769,0.1423427131008919,7.37787901574877,2.12087197162722,2.8794042723492836,0.7523676693067387,0.5034920634920635,0.49952380952380954
DANN,0.1,S1,46,0.4024532890079109,0.08097632981924323,-0.05798511661963115,7.515162756675355,1.4069955569645525,1.4800404856856202,0.9922009429378342,0.803968253968254,0.5
DANN,0.1,S2,42,1.0,0.01753106987937269,0.28767023976982437,8.334961734519732,2.1255442484815688,3.3517282865959532,0.6408508242299639,0.5,0.6404761904761904
DANN,0.1,S2,43,1.0,0.02061738593623476,0.21656226017907196,8.128105868506696,2.0216833003669867,2.9865957204363407,0.6849128437919703,0.5,0.5
DANN,0.1,S2,44,0.9528176585319443,0.05563015916651454,0.1470732021993711,7.277254456669951,2.2219430561067917,2.8923091762659907,0.7908260378041146,0.5,0.5
DANN,0.1,S2,45,1.0,0.033717604942263585,0.2807638266848297,7.909529444387012,2.325118271556252,3.5526161943342234,0.6663749972160157,0.5,0.6576190476190477
DANN,0.1,S2,46,0.9664668664668665,0.0455297963592348,0.1595756307058477,7.255633355472929,2.1020108509565345,2.785155968998248,0.773079835833455,0.61,0.5
DANN,0.1,S3,42,0.9760239760239762,0.005847714270514616,0.22184187810883418,7.6614892312706795,2.2464295457535304,3.371814197768791,0.6696282118647061,0.560952380952381,0.5
DANN,0.1,S3,43,1.0,0.0047757882844823045,0.27303701067412806,7.921963496504664,2.2591937584051487,3.5831028830498974,0.6333857055940605,0.5719047619047619,0.47619047619047616
DANN,0.1,S3,44,0.9904095904095904,0.015569621949027848,0.13714742823453294,7.328783334268572,2.2135693844975775,3.018956387066617,0.7400312883803952,0.6420634920634921,0.5
DANN,0.1,S3,45,0.7025802768659912,0.03484481895431272,-0.05930398922138439,7.052812551781287,1.6210253771318064,1.8109326935478285,0.9119823694478543,0.812063492063492,0.6504761904761904
DANN,0.1,S3,46,0.9670615099186527,0.021907084636722217,0.10383586162141445,7.244907351405714,2.0934261871005186,2.7484062000696627,0.7710922779941299,0.5488888888888889,0.5
DANN,0.3,S1,42,1.0,0.026533502252749218,0.2920454464687156,8.338225812562365,2.3841758670655873,3.76495594483881,0.6422127126837702,0.5201587301587302,0.4776190476190476
DANN,0.3,S1,43,0.8679377765092051,0.06162982672865211,0.07504016690116647,9.050163900611501,2.04381111072177,2.564829501951422,0.8217865576489527,0.5,0.5
DANN,0.3,S1,44,1.0,0.05709879549014788,0.2749717869783554,9.231537074663276,2.669560740998856,4.114106949919766,0.66823297736081,0.45396825396825397,0.5238095238095238
DANN,0.3,S1,45,1.0,0.05994167722311379,0.2010711380864764,8.22886682105435,2.46124895866502,3.5203890457932374,0.7209768755372131,0.5,0.5
DANN,0.3,S1,46,0.4654279260471211,0.08167296073791443,-0.05963918942384782,7.637906590898813,1.3836426448253387,1.4550256131596877,0.9929725472845239,0.5079365079365079,0.5
DANN,0.3,S2,42,1.0,0.05468074040324523,0.21906489485711206,7.958489749160193,2.3676733820669864,3.370183204091963,0.7229198620779995,0.5,0.5
DANN,0.3,S2,43,0.8709994767137623,0.05172637036389592,0.1211532534728791,7.8863833998946635,2.217145809861591,2.9429035927997105,0.7740079655324046,0.5,0.5
DANN,0.3,S2,44,1.0,0.07527778712839153,0.26146514829369294,9.033008149024251,2.8136040993752585,4.154008509523497,0.7034352792593674,0.5,0.5
DANN,0.3,S2,45,0.8756909756909759,0.08213485649703454,0.10164159114227367,7.81358049154677,2.33031713872549,2.8935405173508073,0.8413348555376488,0.5,0.5
DANN,0.3,S2,46,0.7127424955996384,0.08026278706077958,0.03520606971568827,8.880877961426178,1.9547093006138052,2.292466014468043,0.889875415959559,0.5,0.5
DANN,0.3,S3,42,0.8556158127586697,0.02576998993032209,0.011979304619081919,8.951159771128994,1.9141252056990006,2.384422361360491,0.8145678737582168,0.5,0.5
